No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
21,LaMarcus Aldridge,C,6-11,250,"July 19, 1985",us US,15,Texas,BRK,2022
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us US,5,Saint Joseph's,BRK,2022
1,Bruce Brown,SF,6-4,202,"August 15, 1996",us US,3,Miami (FL),BRK,2022
0,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,3,West Virginia,BRK,2022
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,2,Georgia,BRK,2022
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,7,"Liberty, Duke",BRK,2022
9,Goran DragiÄ,PG,6-4,190,"May 6, 1986",si SI,13,,BRK,2022
"0, 4",Andre Drummond,C,6-11,279,"August 10, 1993",us US,9,UConn,BRK,2022
6,David Duke Jr.,PG,6-4,204,"October 13, 1999",us US,R,Providence,BRK,2022
7,Kevin Durant,PF,6-11,240,"September 29, 1988",us US,13,Texas,BRK,2022
14,Kessler Edwards,SF,6-8,203,"August 9, 2000",us US,R,Pepperdine,BRK,2022
10,James Ennis III,SF,6-6,215,"July 1, 1990",us US,7,Cal State Long Beach,BRK,2022
34,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd SD,2,Kentucky,BRK,2022
9,Langston Galloway,SG,6-1,200,"December 9, 1991",us US,7,Saint Joseph's,BRK,2022
2,Blake Griffin,C,6-9,250,"March 16, 1989",us US,11,Oklahoma,BRK,2022
13,James Harden,PG,6-5,220,"August 26, 1989",us US,12,Arizona State,BRK,2022
12,Joe Harris,SF,6-6,220,"September 6, 1991",us US,7,Virginia,BRK,2022
4,Shaquille Harrison,SG,6-4,195,"October 6, 1993",us US,4,Tulsa,BRK,2022
11,Kyrie Irving,PG,6-2,195,"March 23, 1992",au AU,10,Duke,BRK,2022
16,James Johnson,PF,6-7,240,"February 20, 1987",us US,12,Wake Forest,BRK,2022
8,Patty Mills,SG,6-2,180,"August 11, 1988",au AU,12,Saint Mary's,BRK,2022
31,Paul Millsap,C,6-7,257,"February 10, 1985",us US,15,Louisiana Tech,BRK,2022
20,Day'Ron Sharpe,PF,6-10,265,"November 6, 2001",us US,R,UNC,BRK,2022
24,Cam Thomas,SG,6-3,210,"October 13, 2001",jp JP,R,LSU,BRK,2022
