No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
0,Jordan Clarkson,SG,6-5,194,"June 7, 1992",us US,10,"Tulsa, Missouri",UTA,2025
13,Isaiah Collier,PG,6-4,210,"October 8, 2004",us US,R,USC,UTA,2025
20,John Collins,PF,6-9,226,"September 23, 1997",us US,7,Wake Forest,UTA,2025
15,Drew Eubanks,C,6-10,245,"February 1, 1997",us US,6,Oregon State,UTA,2025
22,Kyle Filipowski,C,6-11,250,"November 7, 2003",us US,R,Duke,UTA,2025
3,Keyonte George,PG,6-4,185,"November 8, 2003",us US,1,Baylor,UTA,2025
16,Elijah Harkless,SG,6-3,195,"February 3, 2000",us US,R,"Cal State Northridge, Oklahoma, UNLV",UTA,2025
0,Taylor Hendricks,PF,6-9,215,"November 22, 2003",us US,1,Central Florida,UTA,2025
33,Johnny Juzang,SG,6-7,226,"March 17, 2001",us US,2,"Kentucky, UCLA",UTA,2025
24,Walker Kessler,C,7-2,245,"July 26, 2001",us US,2,"UNC, Auburn",UTA,2025
23,Lauri Markkanen,PF,7-1,240,"May 22, 1997",fi FI,7,Arizona,UTA,2025
99,KJ Martin,SF,6-6,215,"January 6, 2001",us US,4,,UTA,2025
8,Patty Mills,PG,6-2,180,"August 11, 1988",au AU,15,Saint Mary's,UTA,2025
19,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,6,Kansas,UTA,2025
25,Micah Potter,C,6-9,248,"April 6, 1998",us US,3,"Ohio State, Wisconsin",UTA,2025
28,Brice Sensabaugh,SF,6-6,235,"October 30, 2003",us US,1,Ohio State,UTA,2025
2,Collin Sexton,SG,6-3,190,"January 4, 1999",us US,6,Alabama,UTA,2025
11,Jaden Springer,PG,6-4,202,"September 25, 2002",us US,3,Tennessee,UTA,2025
34,Oscar Tshiebwe,C,6-8,255,"November 27, 1999",cd CD,1,"West Virginia, Kentucky",UTA,2025
5,Cody Williams,SG,6-8,190,"November 20, 2004",us US,R,Colorado,UTA,2025
