Rk,Unnamed: 1,Salary,Team,Season
1,CJ McCollum,"$33,333,333",NOP,2023
2,Brandon Ingram,"$31,650,600",NOP,2023
3,Jonas ValanÄiÅ«nas,"$14,700,000",NOP,2023
4,Zion Williamson,"$13,534,817",NOP,2023
5,Josh Richardson,"$12,196,094",NOP,2023
6,Larry Nance,"$9,672,727",NOP,2023
7,Jaxson Hayes,"$6,803,012",NOP,2023
8,Dyson Daniels,"$5,508,600",NOP,2023
9,Garrett Temple,"$5,155,500",NOP,2023
10,Kira Lewis,"$4,004,280",NOP,2023
11,Trey Murphy,"$3,206,520",NOP,2023
12,Willy HernangÃ³mez,"$2,443,581",NOP,2023
13,Herbert Jones,"$1,785,000",NOP,2023
14,Naji Marshall,"$1,782,621",NOP,2023
15,Jose Alvarado,"$1,563,518",NOP,2023
16,Dereon Seabron,,NOP,2023
17,Izaiah Brockington,,NOP,2023
18,John Butler,,NOP,2023
19,E.J. Liddell,,NOP,2023
20,Dereon Seabron,,NOP,2023
