No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
33,Nicolas Batum,PF,6-7,230,"December 14, 1988",fr FR,15,,LAC,2024
4,Brandon Boston Jr.,SF,6-6,188,"November 28, 2001",us US,2,Kentucky,LAC,2024
21,Kobe Brown,PF,6-7,250,"January 1, 2000",us US,R,Missouri,LAC,2024
7,Amir Coffey,SF,6-7,210,"June 17, 1997",us US,4,Minnesota,LAC,2024
23,Robert Covington,PF,6-7,209,"December 14, 1990",us US,10,Tennessee State,LAC,2024
25,Moussa Diabat̩,C,6-10,210,"January 21, 2002",fr FR,1,Michigan,LAC,2024
13,Paul George,PF,6-8,220,"May 2, 1990",us US,13,Fresno State,LAC,2024
1,James Harden,PG,6-5,220,"August 26, 1989",us US,14,Arizona State,LAC,2024
5,Bones Hyland,PG,6-2,169,"September 14, 2000",us US,2,VCU,LAC,2024
2,Kawhi Leonard,SF,6-6,225,"June 29, 1991",us US,11,San Diego State,LAC,2024
14,Terance Mann,SG,6-6,215,"October 18, 1996",us US,4,Florida State,LAC,2024
6,KJ Martin,SF,6-6,215,"January 6, 2001",us US,3,,LAC,2024
11,Jordan Miller,SF,6-5,194,"January 23, 2000",us US,R,"George Mason, Miami (FL)",LAC,2024
22,Xavier Moon,SG,6-0,165,"January 2, 1995",us US,2,"Northwest Florida State College, Morehead State University",LAC,2024
44,Mason Plumlee,C,7-0,254,"March 5, 1990",us US,10,Duke,LAC,2024
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,8,UCLA,LAC,2024
12,Joshua Primo,SG,6-4,189,"December 24, 2002",ca CA,2,Alabama,LAC,2024
10,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,6,,LAC,2024
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us US,12,Texas,LAC,2024
0,Russell Westbrook,PG,6-4,200,"November 12, 1988",us US,15,UCLA,LAC,2024
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,7,,LAC,2024
