No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
8,Nemanja Bjelica,C,6-10,234,"May 9, 1988",rs RS,6,,GSW,2022
2,Chris Chiozza,PG,5-11,179,"November 21, 1995",us US,3,Florida,GSW,2022
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,12,Davidson,GSW,2022
21,Jeff Dowtin Jr.,PG,6-3,177,"May 10, 1997",us US,R,Rhode Island,GSW,2022
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,9,Michigan State,GSW,2022
9,Andre Iguodala,SF,6-6,215,"January 28, 1984",us US,17,Arizona,GSW,2022
0,Jonathan Kuminga,SF,6-7,225,"October 6, 2002",cd CD,R,,GSW,2022
1,Damion Lee,SG,6-6,210,"October 21, 1992",us US,4,"Drexel, Louisville",GSW,2022
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,6,UCLA,GSW,2022
4,Moses Moody,SG,6-5,211,"May 31, 2002",us US,R,Arkansas,GSW,2022
0,Gary Payton II,SG,6-2,195,"December 1, 1992",us US,5,Oregon State,GSW,2022
3,Jordan Poole,SG,6-4,194,"June 19, 1999",us US,2,Michigan,GSW,2022
32,Otto Porter Jr.,PF,6-8,198,"June 3, 1993",us US,8,Georgetown,GSW,2022
11,Klay Thompson,SG,6-5,220,"February 8, 1990",us US,8,Washington State,GSW,2022
95,Juan Toscano-Anderson,SF,6-6,209,"April 10, 1993",us US,2,Marquette,GSW,2022
12,Quinndary Weatherspoon,SG,6-3,207,"September 10, 1996",us US,2,Mississippi State,GSW,2022
22,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,7,Kansas,GSW,2022
