Rk,Unnamed: 1,Salary,Team,Season
1,Scottie Barnes,"$38,661,750",TOR,2026
2,Brandon Ingram,"$38,095,238",TOR,2026
3,Immanuel Quickley,"$32,500,000",TOR,2026
4,RJ Barrett,"$27,705,357",TOR,2026
5,Jakob Poeltl,"$19,500,000",TOR,2026
6,Collin Murray-Boyles,"$6,332,520",TOR,2026
7,Gradey Dick,"$4,990,560",TOR,2026
8,Ja'Kobe Walter,"$3,638,160",TOR,2026
9,Sandro Mamukelashvili,"$2,461,463",TOR,2026
10,Garrett Temple,"$2,296,274",TOR,2026
11,Chris Paul,"$2,296,274",TOR,2026
12,Trayce Jackson-Davis,"$2,221,677",TOR,2026
13,Jamal Shead,"$1,955,377",TOR,2026
14,Jonathan Mogbo,"$1,955,377",TOR,2026
15,Jamison Battle,"$1,955,377",TOR,2026
16,Mo Bamba,"$194,771",TOR,2026
