Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,98.1,0.259,0.361,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,Ball Arena,788635,DEN,2023
Lg Rank,4,27,6,6,6.0,28.0,6.0,5.0,15.0,23.0,20.0,21.0,1.0,24.0,11.0,25.0,15.0,17.0,12.0,9.0,,7,DEN,2023
