No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
35,Marvin Bagley III,C,6-10,235,"March 14, 1999",us US,5,Duke,DET,2024
35,Buddy Boeheim,SF,6-5,205,"November 11, 1999",us US,1,Syracuse,DET,2024
44,Bojan BogdanoviÄ,PF,6-7,226,"April 18, 1989",ba BA,9,,DET,2024
7,Troy Brown Jr.,SF,6-7,215,"July 28, 1999",us US,5,Oregon,DET,2024
14,Alec Burks,SG,6-5,214,"July 20, 1991",us US,12,Colorado,DET,2024
20,Malcolm Cazalon,SG,6-6,185,"August 27, 2001",fr FR,R,,DET,2024
2,Cade Cunningham,PG,6-6,220,"September 25, 2001",us US,2,Oklahoma State,DET,2024
0,Jalen Duren,C,6-10,250,"November 18, 2003",us US,1,Memphis,DET,2024
18,Tosan Evbuomwan,SF,6-8,217,"February 16, 2001",gb GB,R,Princeton,DET,2024
14,Malachi Flynn,PG,6-1,185,"May 10, 1998",us US,3,"Washington State, San Diego State",DET,2024
19,Simone Fontecchio,SF,6-7,209,"December 9, 1995",it IT,1,,DET,2024
31,Evan Fournier,SG,6-6,205,"October 29, 1992",fr FR,11,,DET,2024
12,Danilo Gallinari,SF,6-10,236,"August 8, 1988",it IT,13,,DET,2024
67,Taj Gibson,PF,6-9,232,"June 24, 1985",us US,14,USC,DET,2024
24,Quentin Grimes,SG,6-4,210,"May 8, 2000",us US,2,"Kansas, Houston",DET,2024
31,Joe Harris,SG,6-6,220,"September 6, 1991",us US,9,Virginia,DET,2024
7,Killian Hayes,PG,6-4,195,"July 27, 2001",us US,3,,DET,2024
23,Jaden Ivey,SG,6-3,195,"February 13, 2002",us US,1,Purdue,DET,2024
24,Kevin Knox,SF,6-8,215,"August 11, 1999",us US,5,Kentucky,DET,2024
12,Isaiah Livers,PF,6-6,232,"July 28, 1998",us US,2,Michigan,DET,2024
5,Chimezie Metu,C,6-10,225,"March 22, 1997",us US,5,USC,DET,2024
5,Shake Milton,SG,6-5,205,"September 26, 1996",us US,5,SMU,DET,2024
5,Monte Morris,PG,6-2,183,"June 27, 1995",us US,6,Iowa State,DET,2024
41,Mike Muscala,C,6-10,240,"July 1, 1991",us US,10,Bucknell,DET,2024
20,Jaylen Nowell,SG,6-4,201,"July 9, 1999",us US,4,Washington,DET,2024
8,Jared Rhoden,SG,6-5,210,"August 27, 1999",us US,1,Seton Hall,DET,2024
25,Marcus Sasser,PG,6-1,195,"September 21, 2000",us US,R,Houston,DET,2024
28,Isaiah Stewart,PF,6-8,250,"May 22, 2001",us US,3,Washington,DET,2024
9,Ausar Thompson,SF,6-7,205,"January 30, 2003",us US,R,,DET,2024
17,Stanley Umude,SG,6-6,210,"April 12, 1999",us US,1,"South Dakota, Arkansas",DET,2024
13,James Wiseman,C,6-11,240,"March 31, 2001",us US,2,Memphis,DET,2024
