No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,4,Virginia Tech,MIN,2024
1,Kyle Anderson,PF,6-8,230,"September 20, 1993",us US,9,UCLA,MIN,2024
23,Troy Brown Jr.,SF,6-7,215,"July 28, 1999",us US,5,Oregon,MIN,2024
10,Mike Conley,PG,6-1,175,"October 11, 1987",us US,16,Ohio State,MIN,2024
5,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,3,Georgia,MIN,2024
55,Luka Garza,C,6-10,243,"December 27, 1998",us US,2,Iowa,MIN,2024
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,10,,MIN,2024
44,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,6,UNC,MIN,2024
3,Jaden McDaniels,SF,6-9,185,"September 29, 2000",us US,3,Washington,MIN,2024
6,Jordan McLaughlin,PG,5-11,185,"April 9, 1996",us US,4,USC,MIN,2024
33,Leonard Miller,SF,6-10,220,"November 26, 2003",ca CA,R,,MIN,2024
18,Shake Milton,SG,6-5,205,"September 26, 1996",us US,5,SMU,MIN,2024
8,Josh Minott,SF,6-8,205,"November 25, 2002",us US,1,Memphis,MIN,2024
7,Wendell Moore Jr.,SG,6-5,215,"September 18, 2001",us US,1,Duke,MIN,2024
23,Monte Morris,PG,6-2,183,"June 27, 1995",us US,6,Iowa State,MIN,2024
12,Daishen Nix,PG,6-3,226,"February 13, 2002",us US,2,,MIN,2024
11,Naz Reid,PF,6-9,264,"August 26, 1999",us US,4,LSU,MIN,2024
32,Karl-Anthony Towns,PF,7-0,248,"November 15, 1995",us US,8,Kentucky,MIN,2024
24,T.J. Warren,SF,6-8,220,"September 5, 1993",us US,8,NC State,MIN,2024
