Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,42,40,44,38,1.13,-0.17,0.96,117.3,116.1,96.5,0.295,0.404,0.559,13.2,23.7,0.243,0.545,12.9,72.9,0.197,Intuit Dome,722504,LAC,2026
Lg Rank,18,12,16,16,16.0,23.0,16.0,11.0,18.0,28.0,3.0,19.0,8.0,21.0,23.0,3.0,16.0,16.0,23.0,11.0,,20,LAC,2026
