Rk,Unnamed: 1,Salary,Team,Season
1,Jonathan Isaac,"$17,400,000",ORL,2023
2,Markelle Fultz,"$16,500,000",ORL,2023
3,Wendell Carter,"$14,150,000",ORL,2023
4,Gary Harris,"$13,000,000",ORL,2023
5,Patrick Beverley,"$13,000,000",ORL,2023
6,Paolo Banchero,"$11,055,120",ORL,2023
7,Terrence Ross,"$10,581,484",ORL,2023
8,Jalen Suggs,"$6,922,320",ORL,2023
9,Franz Wagner,"$5,258,280",ORL,2023
10,Cole Anthony,"$3,613,680",ORL,2023
11,Chuma Okeke,"$3,433,320",ORL,2023
12,R.J. Hampton,"$2,412,840",ORL,2023
13,Bol Bol,"$2,200,000",ORL,2023
14,Caleb Houstan,"$2,000,000",ORL,2023
15,Moritz Wagner,"$1,878,720",ORL,2023
16,Michael Carter-Williams,"$652,829",ORL,2023
17,Goga Bitadze,"$612,181",ORL,2023
18,Admiral Schofield,"$506,508",ORL,2023
19,Admiral Schofield,,ORL,2023
20,Kevon Harris,,ORL,2023
21,Jay Scrubb,,ORL,2023
