No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,6,Virginia Tech,ATL,2026
18,Mouhamed Gueye,PF,6-11,210,"November 9, 2002",sn SN,2,Washington State,ATL,2026
5,Dyson Daniels,SG,6-7,199,"March 17, 2003",au AU,3,,ATL,2026
17,Onyeka Okongwu,C,6-10,240,"December 11, 2000",us US,5,USC,ATL,2026
1,Jalen Johnson,SF,6-8,219,"December 18, 2001",us US,4,Duke,ATL,2026
10,Zaccharie Risacher,SF,6-8,200,"April 8, 2005",es ES,1,,ATL,2026
2,Keaton Wallace,PG,6-3,185,"February 26, 1999",us US,1,Texas-San Antonio,ATL,2026
14,Asa Newell,PF,6-10,220,"October 5, 2005",us US,R,Georgia,ATL,2026
3,CJ McCollum,PG,6-3,190,"September 19, 1991",us US,12,Lehigh,ATL,2026
24,Corey Kispert,SF,6-6,224,"March 3, 1999",us US,4,Gonzaga,ATL,2026
4,Gabe Vincent,PG,6-2,200,"June 14, 1996",us US,6,UC Santa Barbara,ATL,2026
31,Jock Landale,C,6-11,255,"October 25, 1995",au AU,4,Saint Mary's,ATL,2026
0,Jonathan Kuminga,PF,6-7,225,"October 6, 2002",cd CD,4,,ATL,2026
35,Christian Koloko (TW),C,6-11,225,"June 20, 2000",cm CM,2,Arizona,ATL,2026
8,Buddy Hield,SG,6-4,220,"December 17, 1992",bs BS,9,Oklahoma,ATL,2026
13,Tony Bradley,C,6-10,248,"January 8, 1998",us US,7,UNC,ATL,2026
"00, 0",RayJ Dennis (TW),PG,6-1,180,"March 30, 2001",us US,1,"Boise State, Toledo, Baylor",ATL,2026
51,Keshon Gilbert (TW),SG,6-4,200,"June 30, 2003",us US,R,"UNLV, Iowa State",ATL,2026
