Rk,Unnamed: 1,Salary,Team,Season
1,Trae Young,"$40,064,220",ATL,2024
2,Clint Capela,"$20,616,000",ATL,2024
3,De'Andre Hunter,"$20,089,286",ATL,2024
4,Bogdan BogdanoviÄ,"$18,700,000",ATL,2024
5,Dejounte Murray,"$18,214,000",ATL,2024
6,Onyeka Okongwu,"$8,109,063",ATL,2024
7,Patty Mills,"$6,802,950",ATL,2024
8,Saddiq Bey,"$4,556,983",ATL,2024
9,Kobe Bufkin,"$4,094,280",ATL,2024
10,AJ Griffin,"$3,712,920",ATL,2024
11,Jalen Johnson,"$2,925,360",ATL,2024
12,Bruno Fernando,"$2,581,522",ATL,2024
13,Wesley Matthews,"$2,019,706",ATL,2024
14,Garrison Mathews,"$2,000,000",ATL,2024
15,Mouhamed Gueye,"$1,119,563",ATL,2024
16,Jarkel Joiner,"$1,119,563",ATL,2024
17,Trent Forrest,"$533,945",ATL,2024
18,Miles Norris,,ATL,2024
19,Seth Lundy,,ATL,2024
20,Trent Forrest,,ATL,2024
21,Vit Krejci,,ATL,2024
22,Dylan Windler,,ATL,2024
