Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,Team,Season
1.0,Paul George,33.0,PF,74,74,2502,0,0,3,86,11,8.9,14.3,82,36,88,24,117,19,619,28,55,AS,LAC,2024
2.0,James Harden,34.0,PG,72,72,2470,72,28,0,0,0,5.9,6.0,120,42,62,15,140,7,1429,33,42,,LAC,2024
3.0,Kawhi Leonard,32.0,SF,68,68,2330,0,5,62,32,2,8.5,11.9,53,38,44,12,122,9,607,44,30,"AS,NBA2",LAC,2024
4.0,Norman Powell,30.0,SG,76,3,1990,3,72,24,0,0,5.1,3.0,29,18,73,5,79,8,194,16,37,6MOY-4,LAC,2024
5.0,Terance Mann,27.0,SG,75,71,1873,2,70,27,2,0,2.5,-2.1,17,22,53,9,47,7,286,11,29,,LAC,2024
6.0,Ivica Zubac,26.0,C,68,68,1794,0,0,0,0,100,4.8,2.1,30,18,129,24,78,3,227,10,40,,LAC,2024
7.0,Russell Westbrook,35.0,PG,68,11,1529,93,7,0,0,0,4.4,1.4,95,35,47,6,81,6,697,19,43,6MOY-7,LAC,2024
8.0,Amir Coffey,26.0,SF,70,13,1460,0,6,69,25,1,-2.8,-10.3,16,9,58,5,34,7,190,12,20,,LAC,2024
9.0,Daniel Theis,31.0,C,59,3,1007,0,0,0,1,99,3.8,0.3,11,8,76,14,20,8,148,4,26,,LAC,2024
10.0,Mason Plumlee,33.0,C,46,11,674,0,0,0,0,100,0.0,-4.3,18,13,38,4,50,6,127,9,14,,LAC,2024
11.0,Bones Hyland,23.0,PG,37,5,540,100,0,0,0,0,-7.1,-12.4,21,13,14,5,9,0,214,1,20,,LAC,2024
12.0,P.J. Tucker,38.0,PF,28,7,420,0,0,44,50,7,-3.9,-8.3,4,0,22,1,2,4,42,1,2,,LAC,2024
13.0,Kobe Brown,24.0,PF,44,0,394,0,0,1,89,10,-9.2,-14.3,3,3,29,2,1,1,61,0,6,,LAC,2024
14.0,Brandon Boston Jr.,22.0,SF,32,0,345,2,46,43,7,2,-15.2,-20.6,4,11,26,4,14,3,29,1,13,,LAC,2024
15.0,Xavier Moon,29.0,SG,14,1,119,68,32,0,0,0,-17.5,-21.8,4,1,6,0,0,0,49,0,0,,LAC,2024
16.0,Robert Covington,33.0,PF,3,3,69,0,0,96,4,0,32.8,29.7,0,0,3,0,1,1,19,0,0,,LAC,2024
17.0,Moussa Diabat̩,22.0,C,11,0,64,0,0,0,0,100,3.4,-0.2,1,0,2,0,5,1,11,0,3,,LAC,2024
18.0,Nicolas Batum,35.0,PF,3,0,54,0,0,0,68,32,-1.9,-5.6,1,0,0,0,0,0,13,0,0,,LAC,2024
19.0,KJ Martin,23.0,SF,2,0,31,0,28,72,0,0,-7.7,-11.4,0,1,1,1,1,0,3,0,1,,LAC,2024
20.0,Jordan Miller,24.0,SF,8,0,28,14,18,51,18,0,-22.4,-26.2,1,0,2,0,1,0,0,0,2,,LAC,2024
21.0,Joshua Primo,21.0,SG,2,0,10,0,100,0,0,0,-9.5,-13.2,3,1,0,0,0,0,0,0,1,,LAC,2024
,Team Totals,,,82,82,19703,20,20,20,20,20,3.6,2.2,513,269,773,131,802,90,4965,189,384,,LAC,2024
