Rk,Unnamed: 1,Salary,Team,Season
1,Trae Young,"$37,096,500",ATL,2023
2,John Collins,"$23,500,000",ATL,2023
3,Clint Capela,"$18,706,897",ATL,2023
4,Bogdan BogdanoviÄ,"$18,000,000",ATL,2023
5,Dejounte Murray,"$16,571,120",ATL,2023
6,De'Andre Hunter,"$9,835,881",ATL,2023
7,Onyeka Okongwu,"$6,395,160",ATL,2023
8,AJ Griffin,"$3,536,160",ATL,2023
9,Saddiq Bey,"$2,959,080",ATL,2023
10,Jalen Johnson,"$2,792,640",ATL,2023
11,Bruno Fernando,"$2,717,391",ATL,2023
12,Garrison Mathews,"$2,000,000",ATL,2023
13,Aaron Holiday,"$1,836,090",ATL,2023
14,Vit Krejci,"$1,563,518",ATL,2023
15,Tyrese Martin,"$1,017,781",ATL,2023
16,Derrick Favors,"$105,522",ATL,2023
17,Sharife Cooper,,ATL,2023
18,Trent Forrest,,ATL,2023
19,Jarrett Culver,,ATL,2023
20,Donovan Williams,,ATL,2023
