No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
34,Giannis Antetokounmpo,PF,6-11,243,"December 6, 1994",gr GR,10,,MIL,2024
43,Thanasis Antetokounmpo,PF,6-7,219,"July 18, 1992",gr GR,5,,MIL,2024
5,Malik Beasley,SG,6-4,187,"November 26, 1996",us US,7,Florida State,MIL,2024
3,MarJon Beauchamp,SF,6-7,199,"October 12, 2000",us US,1,Yakima Valley Community College,MIL,2024
21,Patrick Beverley,PG,6-2,180,"July 12, 1988",us US,11,Arkansas,MIL,2024
12,Marques Bolden,C,6-10,249,"April 17, 1998",us US,2,Duke,MIL,2024
24,Pat Connaughton,SF,6-5,209,"January 6, 1993",us US,8,Notre Dame,MIL,2024
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us US,11,Marquette,MIL,2024
12,Danilo Gallinari,SF,6-10,236,"August 8, 1988",it IT,13,,MIL,2024
20,A.J. Green,SG,6-4,190,"September 27, 1999",us US,1,University of Northern Iowa,MIL,2024
44,Andre Jackson Jr.,SG,6-6,209,"November 13, 2001",us US,R,UConn,MIL,2024
0,Damian Lillard,PG,6-2,200,"July 15, 1990",us US,11,Weber State,MIL,2024
7,Chris Livingston,SF,6-6,220,"October 15, 2003",us US,R,Kentucky,MIL,2024
11,Brook Lopez,C,7-1,282,"April 1, 1988",us US,15,Stanford,MIL,2024
42,Robin Lopez,C,7-1,281,"April 1, 1988",us US,15,Stanford,MIL,2024
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us US,11,Texas A&M,MIL,2024
15,Cameron Payne,PG,6-2,183,"August 8, 1994",us US,8,Murray State,MIL,2024
9,Bobby Portis,PF,6-9,250,"February 10, 1995",us US,8,Arkansas,MIL,2024
55,Ryan Rollins,PG,6-3,180,"July 3, 2002",us US,1,Toledo,MIL,2024
23,TyTy Washington Jr.,PG,6-3,195,"November 15, 2001",us US,1,Kentucky,MIL,2024
28,Lindell Wigginton,PG,6-1,189,"March 28, 1998",ca CA,2,Iowa State,MIL,2024
