Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,23,59,22,60,-7.72,0.37,-7.36,106.0,113.8,98.4,0.249,0.391,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,Little Caesars Arena,663556,DET,2022
Lg Rank,28,3,26,26,26.0,1.0,26.0,28.0,24.0,14.0,15.0,17.0,30.0,20.0,13.0,16.0,23.0,5.0,23.0,29.0,,18,DET,2022
