Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,39,43,38,44,-1.2,0.46,-0.74,114.8,116.0,99.2,0.263,0.389,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,American Airlines Center,803174,DAL,2025
Lg Rank,18,12,19,19,19.0,3.0,18.0,17.0,21.0,14.0,4.0,24.0,14.0,14.0,23.0,3.0,13.0,24.0,25.0,10.0,,6,DAL,2025
