Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,26,56,30,52,-4.5,0.24,-4.26,114.4,118.9,100.3,0.284,0.355,0.527,12.2,27.0,0.222,0.555,12.4,71.4,0.199,Smoothie King Center,675507,NOP,2026
Lg Rank,23,7,21,21,21.0,7.0,21.0,21.0,25.0,11.0,8.0,26.0,27.0,10.0,8.0,7.0,22.0,19.0,28.0,13.0,,26,NOP,2026
