Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,98.6,0.258,0.365,0.55,12.7,22.6,0.202,0.54,11.0,76.1,0.194,Capital One Arena,710481,WAS,2023
Lg Rank,23,7,23,23,23.0,9.0,23.0,22.0,21.0,17.0,21.0,19.0,13.0,18.0,23.0,20.0,9.0,27.0,15.0,4.0,,21,WAS,2023
