No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
40,Harrison Barnes,PF,6-7,225,"May 30, 1992",us US,10,UNC,SAC,2023
24,Deonte Burton,PF,6-4,240,"January 31, 1994",us US,2,"Marquette, Iowa State",SAC,2023
3,Terence Davis,SG,6-4,201,"May 16, 1997",us US,3,Ole Miss,SAC,2023
8,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au AU,8,Saint Mary's,SAC,2023
35,PJ Dozier,SF,6-6,212,"October 25, 1996",us US,5,South Carolina,SAC,2023
17,Kessler Edwards,SF,6-8,203,"August 9, 2000",us US,1,Pepperdine,SAC,2023
23,Keon Ellis,SG,6-4,175,"January 8, 2000",us US,R,"Florida SouthWestern State College, Alabama",SAC,2023
5,De'Aaron Fox,PG,6-3,185,"December 20, 1997",us US,5,Kentucky,SAC,2023
22,Richaun Holmes,C,6-9,235,"October 15, 1993",us US,7,Bowling Green,SAC,2023
9,Kevin Huerter,SG,6-6,198,"August 27, 1998",us US,4,Maryland,SAC,2023
25,Alex Len,C,7-0,250,"June 16, 1993",ua UA,9,Maryland,SAC,2023
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca CA,7,Kentucky,SAC,2023
7,Chimezie Metu,PF,6-10,225,"March 22, 1997",us US,4,USC,SAC,2023
15,Davion Mitchell,PG,6-0,202,"September 5, 1998",us US,1,"Auburn, Baylor",SAC,2023
19,Chima Moneke,SF,6-5,223,"December 24, 1995",ng NG,R,"Northeast Community College, UC-Davis",SAC,2023
0,Malik Monk,SG,6-3,200,"February 4, 1998",us US,5,Kentucky,SAC,2023
13,Keegan Murray,SF,6-8,225,"August 19, 2000",us US,R,Iowa,SAC,2023
30,KZ Okpala,PF,6-8,215,"April 28, 1999",us US,3,Stanford,SAC,2023
88,Neemias Queta,C,7-0,248,"July 13, 1999",pt PT,1,Utah State University,SAC,2023
10,Domantas Sabonis,C,6-10,240,"May 3, 1996",us US,6,Gonzaga,SAC,2023
