Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,98.3,0.248,0.332,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,United Center,856148,CHI,2022
Lg Rank,12,18,20,20,20.0,15.0,20.0,13.0,22.0,15.0,17.0,30.0,10.0,9.0,28.0,9.0,22.0,21.0,4.0,21.0,,1,CHI,2022
