Rk,Unnamed: 1,Salary,Team,Season
1,Shai Gilgeous-Alexander,"$38,333,050",OKC,2026
2,Isaiah Hartenstein,"$28,500,000",OKC,2026
3,Luguentz Dort,"$18,222,222",OKC,2026
4,Alex Caruso,"$18,102,000",OKC,2026
5,Chet Holmgren,"$13,731,368",OKC,2026
6,Isaiah Joe,"$12,362,338",OKC,2026
7,Aaron Wiggins,"$10,102,803",OKC,2026
8,Jaylin Williams,"$8,450,704",OKC,2026
9,Kenrich Williams,"$7,163,000",OKC,2026
10,Jalen Williams,"$6,580,997",OKC,2026
11,Cason Wallace,"$5,820,240",OKC,2026
12,Nikola TopiÄ,"$5,182,920",OKC,2026
13,Thomas Sorber,"$4,655,040",OKC,2026
14,Jared McCain,"$4,221,360",OKC,2026
15,Ajay Mitchell,"$3,000,000",OKC,2026
16,Mason Plumlee,"$2,296,274",OKC,2026
