No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
33.0,Toumani Camara,PF,6-7,230,"May 8, 2000",be BE,2,"Georgia, Dayton",POR,2026
23.0,Donovan Clingan,C,7-2,280,"February 23, 2004",us US,1,UConn,POR,2026
91.0,Sidy Cissoko,SF,6-6,220,"April 2, 2004",fr FR,2,,POR,2026
8.0,Deni Avdija,SF,6-8,228,"January 3, 2001",il IL,5,,POR,2026
35.0,Robert Williams,C,6-9,249,"October 17, 1997",us US,7,Texas A&M,POR,2026
9.0,Jerami Grant,PF,6-7,213,"March 12, 1994",us US,11,Syracuse,POR,2026
24.0,Kris Murray,SF,6-8,218,"August 19, 2000",us US,2,Iowa,POR,2026
5.0,Jrue Holiday,PG,6-4,220,"June 12, 1990",us US,16,UCLA,POR,2026
17.0,Shaedon Sharpe,SG,6-5,210,"May 30, 2003",ca CA,3,Kentucky,POR,2026
2.0,Caleb Love (TW),SG,6-3,212,"September 27, 2001",us US,R,"UNC, Arizona",POR,2026
16.0,Yang Hansen,C,7-1,270,"June 26, 2005",cn CN,R,,POR,2026
1.0,Blake Wesley,SG,6-4,190,"March 16, 2003",us US,3,Notre Dame,POR,2026
0.0,Scoot Henderson,PG,6-3,207,"February 3, 2004",us US,2,,POR,2026
4.0,Matisse Thybulle,SG,6-5,202,"March 4, 1997",us US,6,Washington,POR,2026
27.0,VÃ­t KrejÄÃ­,PG,6-8,195,"June 19, 2000",cz CZ,4,,POR,2026
29.0,Jayson Kent (TW),SF,6-8,215,"February 3, 2002",us US,R,"Bradley, Indiana State University, Texas",POR,2026
11.0,Chris Youngblood (TW),SG,6-4,221,"February 9, 2002",us US,R,"Kennesaw State University, South Florida, Alabama",POR,2026
,Damian Lillard,PG,6-2,200,"July 15, 1990",us US,13,Weber State,POR,2026
