No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
30,Ochai Agbaji,SG,6-5,215,"April 20, 2000",us US,2,Kansas,TOR,2025
4,Scottie Barnes,PF,6-8,237,"August 1, 2001",us US,3,Florida State,TOR,2025
9,RJ Barrett,SF,6-6,214,"June 14, 2000",ca CA,5,Duke,TOR,2025
77,Jamison Battle,SF,6-7,220,"May 10, 2001",us US,R,"George Washington, Minnesota, Ohio State",TOR,2025
25,Chris Boucher,PF,6-8,200,"January 11, 1993",lc LC,7,"New Mexico Junior College, Northwest College, Oregon",TOR,2025
11,Bruce Brown,PG,6-4,202,"August 15, 1996",us US,6,Miami (FL),TOR,2025
3,D.J. Carton,SG,6-2,200,"August 5, 2000",us US,1,"Ohio State, Marquette",TOR,2025
11,Colin Castleton,C,6-10,250,"May 25, 2000",us US,1,"Michigan, Florida",TOR,2025
22,Ulrich Chomche,PF,6-11,235,"December 30, 2005",cm CM,R,,TOR,2025
1,Gradey Dick,SG,6-7,200,"November 20, 2003",us US,1,Kansas,TOR,2025
24,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,5,Maryland,TOR,2025
0,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca CA,2,South Carolina,TOR,2025
45,Davion Mitchell,PG,6-0,202,"September 5, 1998",us US,3,"Auburn, Baylor",TOR,2025
2,Jonathan Mogbo,PF,6-9,225,"October 29, 2001",us US,R,"Missouri State, San Francisco",TOR,2025
41,Kelly Olynyk,C,7-0,240,"April 19, 1991",ca CA,11,Gonzaga,TOR,2025
19,Jakob Poeltl,C,7-0,253,"October 15, 1995",at AT,8,Utah,TOR,2025
5,Immanuel Quickley,PG,6-2,190,"June 17, 1999",us US,4,Kentucky,TOR,2025
8,Jared Rhoden,SG,6-5,210,"August 27, 1999",us US,2,Seton Hall,TOR,2025
21,Orlando Robinson,C,6-10,235,"July 10, 2000",us US,2,Fresno State,TOR,2025
23,Jamal Shead,PG,6-1,200,"June 24, 2002",us US,R,Houston,TOR,2025
12,Cole Swider,SF,6-10,220,"May 8, 1999",us US,2,"Villanova, Syracuse",TOR,2025
17,Garrett Temple,SG,6-5,195,"May 8, 1986",us US,14,LSU,TOR,2025
14,Ja'Kobe Walter,SG,6-4,180,"September 4, 2004",us US,R,Baylor,TOR,2025
