No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
33,Nicolas Batum,PF,6-7,230,"December 14, 1988",fr FR,13,,LAC,2022
12,Eric Bledsoe,PG,6-1,214,"December 9, 1989",us US,11,Kentucky,LAC,2022
4,Brandon Boston Jr.,SG,6-6,188,"November 28, 2001",us US,R,Kentucky,LAC,2022
7,Amir Coffey,SG,6-7,210,"June 17, 1997",us US,2,Minnesota,LAC,2022
23,Robert Covington,PF,6-7,209,"December 14, 1990",us US,8,Tennessee State,LAC,2022
10,James Ennis III,SF,6-6,215,"July 1, 1990",us US,7,Cal State Long Beach,LAC,2022
35,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd SD,2,Kentucky,LAC,2022
13,Paul George,PF,6-8,220,"May 2, 1990",us US,11,Fresno State,LAC,2022
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us US,3,,LAC,2022
22,Rodney Hood,SF,6-8,208,"October 20, 1992",us US,7,"Mississippi State, Duke",LAC,2022
9,Serge Ibaka,C,6-11,235,"September 18, 1989",cg CG,12,,LAC,2022
1,Reggie Jackson,SG,6-2,208,"April 16, 1990",it IT,10,Boston College,LAC,2022
45,Keon Johnson,SG,6-5,185,"March 10, 2002",us US,R,Tennessee,LAC,2022
5,Luke Kennard,SG,6-5,206,"June 24, 1996",us US,4,Duke,LAC,2022
14,Terance Mann,SF,6-6,215,"October 18, 1996",us US,2,Florida State,LAC,2022
15,Xavier Moon,SG,6-0,165,"January 2, 1995",us US,R,"Northwest Florida State College, Morehead State University",LAC,2022
8,Marcus Morris,PF,6-8,218,"September 2, 1989",us US,10,Kansas,LAC,2022
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,4,"Duke, SMU",LAC,2022
24,Norman Powell,SG,6-3,215,"May 25, 1993",us US,6,UCLA,LAC,2022
0,Jay Scrubb,SG,6-5,220,"September 1, 2000",us US,1,John A. Logan College,LAC,2022
20,Justise Winslow,PF,6-6,222,"March 26, 1996",us US,6,Duke,LAC,2022
11,Moses Wright,PF,6-8,226,"December 23, 1998",us US,R,Georgia Tech,LAC,2022
40,Ivica Zubac,C,7-0,240,"March 18, 1997",ba BA,5,,LAC,2022
