Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
14,Nicolas Batum,PF,36,LAC,7,0,24.6,1.9,4.7,.394,1.9,4.7,.394,0.0,0.0,,.591,0.0,0.0,,0.6,3.3,3.9,2.0,0.9,1.7,0.4,1.9,5.6,2025
15,Malik Beasley,SG,28,DET,6,0,27.2,4.7,12.5,.373,3.3,9.8,.339,1.3,2.7,.500,.507,1.3,1.3,1.000,0.2,2.3,2.5,1.2,0.5,0.2,1.2,1.7,14.0,2025
16,Goga Bitadze,C,25,ORL,3,0,3.7,0.3,0.3,1.000,0.0,0.0,,0.3,0.3,1.000,1.000,0.0,0.0,,0.0,1.0,1.0,0.3,0.0,0.3,0.0,2.0,0.7,2025
17,Anthony Black,PG,21,ORL,5,0,17.8,3.0,7.4,.405,0.4,2.6,.154,2.6,4.8,.542,.432,1.8,2.6,.692,2.0,2.4,4.4,0.0,0.8,0.2,0.4,1.6,8.2,2025
18,Bogdan BogdanoviÄ,SG,32,LAC,7,0,16.7,2.3,6.3,.364,1.0,3.4,.292,1.3,2.9,.450,.443,0.9,1.0,.857,0.7,2.1,2.9,2.1,0.4,0.0,1.6,3.6,6.4,2025
19,Tony Bradley,C,27,IND,11,0,7.1,0.4,0.8,.444,0.0,0.1,.000,0.4,0.7,.500,.444,0.8,1.1,.750,1.0,0.9,1.9,0.3,0.0,0.1,0.4,0.9,1.5,2025
20,Christian Braun,SG,23,DEN,14,14,38.9,4.8,10.6,.453,1.5,5.0,.300,3.3,5.6,.590,.524,1.6,2.2,.710,1.8,4.6,6.4,2.4,1.2,0.7,1.0,3.4,12.6,2025
21,Mikal Bridges,SF,28,NYK,18,18,39.2,6.7,14.6,.456,1.6,4.7,.333,5.1,9.9,.514,.510,0.7,0.9,.750,1.1,3.4,4.5,2.9,1.7,0.9,2.1,2.2,15.6,2025
22,Dillon Brooks,SF,29,HOU,7,7,29.4,4.0,9.0,.444,1.4,4.1,.345,2.6,4.9,.529,.524,2.9,3.4,.833,1.3,1.9,3.1,1.3,0.7,0.3,1.3,3.9,12.3,2025
23,Jaylen Brown,SF,28,BOS,11,11,36.5,7.8,17.7,.441,1.9,5.7,.333,5.9,12.0,.492,.495,4.5,6.0,.758,1.2,5.9,7.1,3.9,1.0,0.3,3.5,3.2,22.1,2025
24,Kobe Brown,PF,25,LAC,3,0,5.0,2.3,2.7,.875,0.3,0.3,1.000,2.0,2.3,.857,.938,0.3,0.3,1.000,0.0,0.3,0.3,1.3,0.0,0.0,0.0,0.0,5.3,2025
25,Jalen Brunson,PG,28,NYK,18,18,37.8,10.1,21.8,.461,2.7,7.4,.358,7.4,14.4,.514,.522,6.7,7.8,.851,0.7,2.8,3.4,7.0,0.4,0.3,3.1,3.3,29.4,2025
26,Thomas Bryant,C,27,IND,20,0,8.4,0.8,1.7,.485,0.5,0.9,.500,0.4,0.8,.467,.621,0.6,0.7,.786,0.4,1.0,1.4,0.2,0.2,0.3,0.4,1.3,2.6,2025
27,Alec Burks,SG,33,MIA,1,1,15.0,2.0,3.0,.667,2.0,3.0,.667,0.0,0.0,,1.000,0.0,0.0,,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,2025
28,Jimmy Butler,SF,35,GSW,11,11,36.1,6.2,13.8,.447,1.0,3.3,.306,5.2,10.5,.491,.484,5.8,7.3,.800,2.4,4.3,6.6,5.2,1.3,0.3,1.2,1.7,19.2,2025
29,Kentavious Caldwell-Pope,SG,31,ORL,5,5,32.6,1.6,6.0,.267,1.2,4.6,.261,0.4,1.4,.286,.367,0.6,0.8,.750,0.2,2.8,3.0,1.8,1.4,0.6,0.4,2.2,5.0,2025
30,Vlatko ÄanÄar,PF,27,DEN,3,0,3.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0.0,0.0,2025
31,Wendell Carter Jr.,C,25,ORL,5,5,32.4,4.2,8.0,.525,0.6,2.2,.273,3.6,5.8,.621,.563,1.2,2.0,.600,3.8,7.0,10.8,1.2,0.4,0.4,1.6,2.4,10.2,2025
32,Alex Caruso,SG,30,OKC,23,0,24.4,3.1,7.0,.450,1.6,3.9,.411,1.5,3.0,.500,.566,1.3,1.7,.795,0.7,2.0,2.7,2.2,2.0,0.6,0.8,2.7,9.2,2025
33,Cam Christie,SG,19,LAC,3,0,4.3,0.7,1.0,.667,0.3,0.7,.500,0.3,0.3,1.000,.833,0.0,0.0,,0.0,0.7,0.7,0.0,0.3,0.0,0.3,0.0,1.7,2025
34,Jaylen Clark,SG,23,MIN,5,0,5.6,0.8,1.0,.800,0.0,0.2,.000,0.8,0.8,1.000,.800,0.6,0.8,.750,0.4,1.0,1.4,0.2,0.4,0.0,0.2,0.4,2.2,2025
35,Mike Conley,PG,37,MIN,15,15,23.7,1.9,6.4,.302,1.3,4.0,.333,0.6,2.4,.250,.406,0.8,0.9,.923,0.8,2.1,2.9,3.3,0.6,0.2,0.8,1.4,6.0,2025
36,Pat Connaughton,SG,32,MIL,3,0,4.7,0.7,2.7,.250,0.3,1.3,.250,0.3,1.3,.250,.313,0.3,0.7,.500,0.0,0.7,0.7,0.3,0.0,0.0,0.3,0.3,2.0,2025
37,Torrey Craig,SF,34,BOS,5,0,4.2,0.4,0.8,.500,0.4,0.6,.667,0.0,0.2,.000,.750,0.0,0.0,,0.4,0.6,1.0,0.6,0.2,0.0,0.2,0.4,1.2,2025
38,Cade Cunningham,PG,23,DET,6,6,41.3,9.2,21.5,.426,0.8,4.7,.179,8.3,16.8,.495,.446,5.8,7.0,.833,1.0,7.3,8.3,8.7,1.8,1.3,5.3,3.3,25.0,2025
39,Stephen Curry,PG,36,GSW,8,8,35.1,7.8,16.3,.477,4.0,10.0,.400,3.8,6.3,.600,.600,3.1,3.5,.893,0.3,5.0,5.3,5.1,1.0,0.8,3.4,1.6,22.6,2025
40,Tristan Da Silva,SF,23,ORL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,2.0,2.0,0.5,0.0,0.0,1.0,0.0,0.0,2025
41,PacÃ´me Dadiet,SG,19,NYK,2,0,2.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2025
42,JD Davison,PG,22,BOS,4,0,3.3,0.3,2.0,.125,0.3,0.5,.500,0.0,1.5,.000,.188,0.3,0.5,.500,0.3,0.5,0.8,0.8,0.0,0.0,0.3,0.0,1.0,2025
43,Ousmane Dieng,C,21,OKC,9,0,3.6,0.4,1.1,.400,0.4,0.8,.571,0.0,0.3,.000,.600,0.2,0.2,1.000,0.0,0.4,0.4,0.3,0.0,0.1,0.0,0.0,1.6,2025
44,Rob Dillingham,PG,20,MIN,3,0,5.3,1.0,2.7,.375,0.3,0.7,.500,0.7,2.0,.333,.438,0.3,0.7,.500,0.0,0.7,0.7,2.3,0.0,0.0,0.0,0.3,2.7,2025
45,Donte DiVincenzo,SG,28,MIN,15,0,25.1,3.1,8.4,.365,1.9,5.9,.318,1.2,2.5,.474,.476,0.7,0.9,.769,0.8,2.3,3.1,3.3,1.4,0.3,1.9,3.0,8.7,2025
46,Luka DonÄiÄ,PG,25,LAL,5,5,41.6,9.4,20.8,.452,3.2,9.2,.348,6.2,11.6,.534,.529,8.2,9.2,.891,0.4,6.6,7.0,5.8,1.0,0.6,4.0,3.2,30.2,2025
47,Luguentz Dort,SF,25,OKC,23,23,29.0,2.6,7.1,.366,2.1,6.1,.343,0.5,1.0,.500,.512,0.6,1.0,.636,1.4,2.5,3.9,0.9,1.3,0.4,0.9,3.3,7.9,2025
48,Kris Dunn,PG,30,LAC,7,6,21.9,2.4,6.3,.386,1.4,4.0,.357,1.0,2.3,.438,.500,0.0,0.0,,1.4,2.0,3.4,1.3,1.1,0.6,0.1,2.6,6.3,2025
49,Jalen Duren,C,21,DET,6,6,33.8,4.3,6.7,.650,0.0,0.0,,4.3,6.7,.650,.650,3.2,3.8,.826,4.3,6.3,10.7,3.5,0.3,1.7,1.7,4.3,11.8,2025
50,Tari Eason,PF,23,HOU,7,0,18.9,3.0,6.3,.477,1.0,2.7,.368,2.0,3.6,.560,.557,0.6,1.1,.500,1.0,3.3,4.3,0.7,1.1,1.0,1.4,1.9,7.6,2025
51,Zach Edey,C,22,MEM,4,4,27.0,2.5,3.8,.667,0.0,0.0,,2.5,3.8,.667,.667,1.3,1.8,.714,2.8,5.0,7.8,1.8,0.0,2.5,1.5,3.0,6.3,2025
52,Anthony Edwards,SG,23,MIN,15,15,39.0,9.0,19.9,.453,3.1,8.7,.354,5.9,11.2,.530,.530,4.3,5.9,.719,1.2,6.6,7.8,5.5,1.1,0.7,2.6,2.1,25.3,2025
53,Drew Eubanks,C,27,LAC,3,0,4.3,0.0,0.7,.000,0.0,0.0,,0.0,0.7,.000,.000,1.3,2.0,.667,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.7,1.3,2025
54,Dorian Finney-Smith,PF,31,LAL,5,1,34.0,2.4,5.8,.414,1.4,3.8,.368,1.0,2.0,.500,.534,0.0,0.0,,2.0,2.2,4.2,2.6,0.2,0.4,1.0,3.4,6.2,2025
55,Johnny Furphy,SG,20,IND,11,0,3.2,0.1,0.4,.250,0.0,0.2,.000,0.1,0.2,.500,.250,0.0,0.1,.000,0.1,0.5,0.5,0.1,0.0,0.1,0.1,0.5,0.2,2025
56,Darius Garland,PG,25,CLE,5,5,29.6,5.8,13.8,.420,2.0,7.0,.286,3.8,6.8,.559,.493,4.4,4.8,.917,0.2,2.0,2.2,5.2,0.4,0.0,3.0,3.4,18.0,2025
57,Luka Garza,C,26,MIN,5,0,3.8,1.2,1.2,1.000,0.2,0.2,1.000,1.0,1.0,1.000,1.083,0.0,0.0,,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.2,2.6,2025
58,Shai Gilgeous-Alexander,PG,26,OKC,23,23,37.0,10.1,21.9,.462,1.4,4.9,.283,8.7,17.0,.514,.494,8.3,9.4,.876,1.0,4.3,5.3,6.5,1.7,0.9,2.6,2.8,29.9,2025
59,Rudy Gobert,C,32,MIN,15,15,27.4,3.1,5.3,.582,0.0,0.0,,3.1,5.3,.582,.582,1.7,3.3,.520,3.1,5.5,8.6,0.7,0.5,1.2,0.9,2.5,7.9,2025
60,Jordan Goodwin,PG,26,LAL,4,0,7.8,0.3,1.3,.200,0.0,0.5,.000,0.3,0.8,.333,.200,0.3,0.5,.500,0.5,0.8,1.3,0.5,0.3,0.3,0.3,1.8,0.8,2025
61,Aaron Gordon,PF,29,DEN,14,14,37.3,5.8,11.9,.485,1.6,4.1,.379,4.2,7.8,.541,.551,3.1,3.6,.860,3.6,4.0,7.6,2.7,0.6,0.4,1.9,2.4,16.2,2025
62,A.J. Green,SG,25,MIL,5,1,27.0,3.6,7.8,.462,3.6,7.0,.514,0.0,0.8,.000,.692,0.2,0.4,.500,0.4,2.4,2.8,2.0,0.0,0.2,0.0,2.6,11.0,2025
63,Draymond Green,PF,34,GSW,12,12,32.4,3.5,9.0,.389,1.3,5.0,.267,2.2,4.0,.542,.463,0.8,1.1,.692,0.8,4.8,5.5,3.8,1.4,0.9,3.0,3.7,9.1,2025
64,Jalen Green,SG,22,HOU,7,7,31.3,4.6,12.3,.372,1.9,6.3,.295,2.7,6.0,.452,.448,2.3,3.4,.667,0.4,5.0,5.4,2.9,0.6,0.3,1.4,0.9,13.3,2025
65,Javonte Green,SG,31,CLE,6,0,6.5,0.7,1.7,.400,0.2,0.8,.200,0.5,0.8,.600,.450,1.0,1.0,1.000,0.2,1.3,1.5,0.3,0.7,0.0,0.3,0.3,2.5,2025
66,Jeff Green,PF,38,HOU,3,0,1.7,0.3,1.0,.333,0.3,0.3,1.000,0.0,0.7,.000,.500,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1.0,2025
67,Rui Hachimura,PF,26,LAL,5,5,36.4,5.6,11.4,.491,3.0,6.2,.484,2.6,5.2,.500,.623,0.6,0.6,1.000,0.8,3.8,4.6,1.0,0.6,0.6,1.4,2.4,14.8,2025
68,Tyrese Haliburton,PG,24,IND,23,23,33.6,6.3,13.7,.463,2.3,6.9,.340,4.0,6.8,.590,.549,2.3,2.8,.828,0.3,5.0,5.3,8.6,1.3,0.7,2.3,1.7,17.3,2025
69,Tim Hardaway Jr.,SG,32,DET,6,6,31.3,4.0,11.8,.338,2.7,8.7,.308,1.3,3.2,.421,.451,1.3,1.7,.800,0.3,2.5,2.8,1.2,0.3,0.0,1.5,1.7,12.0,2025
70,James Harden,PG,35,LAC,7,7,39.4,6.3,14.4,.436,2.3,6.3,.364,4.0,8.1,.491,.515,3.9,4.7,.818,0.6,4.9,5.4,9.1,1.3,1.0,3.0,2.3,18.7,2025
71,Gary Harris,SG,30,ORL,5,0,16.6,0.6,1.6,.375,0.2,1.2,.167,0.4,0.4,1.000,.438,0.0,0.0,,0.2,0.8,1.0,0.6,0.6,0.2,0.0,1.4,1.4,2025
72,Tobias Harris,PF,32,DET,6,6,38.8,5.7,11.8,.479,1.7,3.8,.435,4.0,8.0,.500,.549,2.7,2.7,1.000,1.3,6.3,7.7,0.5,1.0,1.2,1.0,2.7,15.7,2025
73,Josh Hart,SG,29,NYK,18,14,35.7,3.8,8.0,.472,1.1,3.0,.370,2.7,5.0,.533,.542,2.9,3.7,.776,2.4,6.3,8.8,4.4,1.1,0.6,1.9,3.4,11.6,2025
74,Isaiah Hartenstein,C,26,OKC,23,20,22.4,3.6,5.8,.619,0.0,0.0,,3.6,5.8,.619,.619,0.9,1.3,.667,2.7,4.8,7.5,2.2,0.8,0.5,1.2,2.5,8.1,2025
75,Sam Hauser,PF,27,BOS,8,0,13.5,1.3,3.0,.417,0.9,2.6,.333,0.4,0.4,1.000,.563,0.1,0.1,1.000,0.0,1.5,1.5,0.5,0.1,0.1,0.4,1.4,3.5,2025
76,Jaxson Hayes,C,24,LAL,4,4,7.8,0.8,2.0,.375,0.0,0.0,,0.8,2.0,.375,.375,0.3,0.5,.500,1.3,0.8,2.0,0.3,0.0,0.3,0.3,2.0,1.8,2025
77,Tyler Herro,SG,25,MIA,4,4,36.0,6.8,16.3,.415,2.3,7.3,.310,4.5,9.0,.500,.485,2.0,2.5,.800,0.0,3.5,3.5,2.8,0.5,0.0,2.3,3.0,17.8,2025
78,Buddy Hield,SG,32,GSW,12,9,27.3,4.3,10.4,.416,2.8,6.4,.429,1.6,4.0,.396,.548,1.1,1.2,.929,1.5,2.0,3.5,1.8,1.2,0.4,1.1,2.0,12.5,2025
79,Haywood Highsmith,SF,28,MIA,4,0,21.0,2.8,4.8,.579,1.8,3.8,.467,1.0,1.0,1.000,.763,0.0,0.0,,1.0,2.3,3.3,1.0,0.8,0.5,1.0,2.8,7.3,2025
80,Aaron Holiday,PG,28,HOU,3,0,9.0,1.3,3.3,.400,0.7,1.7,.400,0.7,1.7,.400,.500,0.7,1.3,.500,0.3,0.3,0.7,1.0,0.0,0.0,0.3,1.0,4.0,2025
81,Jrue Holiday,PG,34,BOS,8,8,33.0,3.6,7.5,.483,1.1,3.3,.346,2.5,4.3,.588,.558,1.1,1.6,.692,1.5,2.6,4.1,4.0,0.9,0.1,2.0,3.1,9.5,2025
82,Ron Holland,SF,19,DET,5,0,6.8,0.0,1.0,.000,0.0,0.6,.000,0.0,0.4,.000,.000,1.8,2.0,.900,0.6,0.6,1.2,0.0,0.0,0.2,1.2,1.0,1.8,2025
83,Chet Holmgren,C,22,OKC,23,23,29.8,5.3,11.6,.462,1.2,4.0,.297,4.2,7.6,.549,.513,3.3,4.2,.784,1.8,6.8,8.7,1.0,0.7,1.9,1.2,2.0,15.2,2025
84,Al Horford,C,38,BOS,11,9,31.6,3.1,6.5,.472,1.3,3.2,.400,1.8,3.4,.541,.569,0.5,0.6,.857,1.6,4.4,6.0,1.8,0.6,1.3,0.6,2.7,8.0,2025
85,Caleb Houstan,SF,22,ORL,5,0,9.4,0.4,2.8,.143,0.4,2.0,.200,0.0,0.8,.000,.214,0.0,0.0,,0.4,0.4,0.8,0.2,0.0,0.2,0.4,0.6,1.2,2025
86,Jett Howard,SF,21,ORL,1,0,4.0,2.0,2.0,1.000,2.0,2.0,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,2025
87,Jay Huff,C,26,MEM,2,0,9.0,1.0,2.0,.500,0.0,0.5,.000,1.0,1.5,.667,.500,2.0,2.0,1.000,0.5,1.0,1.5,0.5,0.0,1.5,0.5,0.5,4.0,2025
88,Ariel Hukporti,C,22,NYK,3,0,1.7,0.7,0.7,1.000,0.0,0.0,,0.7,0.7,1.000,1.000,0.0,0.7,.000,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,1.3,2025
89,De'Andre Hunter,SF,27,CLE,8,0,23.1,3.4,7.9,.429,1.5,3.3,.462,1.9,4.6,.405,.524,2.8,3.3,.846,0.8,2.9,3.6,1.0,0.5,0.1,0.9,2.1,11.0,2025
90,Jonathan Isaac,PF,27,ORL,5,0,13.8,1.4,2.4,.583,0.2,0.8,.250,1.2,1.6,.750,.625,0.6,1.0,.600,1.0,1.0,2.0,0.4,0.4,0.2,0.4,0.6,3.6,2025
91,Andre Jackson Jr.,SG,23,MIL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
92,Jaren Jackson Jr.,C,25,MEM,4,4,34.3,5.5,14.5,.379,0.8,2.8,.273,4.8,11.8,.404,.405,4.3,5.0,.850,2.3,2.8,5.0,1.5,1.0,0.5,2.8,3.5,16.0,2025
93,Trayce Jackson-Davis,C,24,GSW,9,3,8.9,1.8,2.0,.889,0.0,0.0,,1.8,2.0,.889,.889,0.6,1.4,.385,1.0,1.3,2.3,0.2,0.3,0.2,0.1,1.7,4.1,2025
94,Bronny James,SG,20,LAL,2,0,2.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
95,LeBron James,SF,40,LAL,5,5,40.8,8.6,17.6,.489,2.0,5.6,.357,6.6,12.0,.550,.545,6.2,8.0,.775,2.4,6.6,9.0,5.6,2.0,1.8,2.6,1.6,25.4,2025
96,Jaime Jaquez Jr.,SF,23,MIA,3,0,6.3,0.3,2.0,.167,0.0,0.7,.000,0.3,1.3,.250,.167,0.7,0.7,1.000,1.0,0.3,1.3,0.3,0.0,0.0,0.3,0.3,1.3,2025
97,Ty Jerome,SG,27,CLE,9,1,21.2,4.1,10.2,.402,1.6,4.0,.389,2.6,6.2,.411,.478,1.9,2.2,.850,0.6,1.9,2.4,3.6,0.6,0.1,1.2,1.8,11.7,2025
98,Isaiah Joe,SG,25,OKC,21,0,10.0,1.7,3.5,.493,1.1,2.7,.411,0.6,0.8,.765,.651,0.6,0.7,.857,0.3,1.0,1.4,0.7,0.3,0.1,0.3,0.6,5.1,2025
99,James Johnson,PF,37,IND,5,0,3.6,0.6,1.0,.600,0.0,0.2,.000,0.6,0.8,.750,.600,0.2,0.4,.500,0.0,0.2,0.2,0.4,0.4,0.4,0.2,0.6,1.4,2025
100,Keshad Johnson,SF,23,MIA,2,0,4.0,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,1.0,2025
101,Nikola JokiÄ,C,29,DEN,14,14,40.2,9.4,19.1,.489,1.9,5.1,.380,7.4,14.1,.528,.539,5.6,7.2,.772,2.1,10.6,12.7,8.0,2.0,0.9,3.9,3.4,26.2,2025
102,Derrick Jones Jr.,SF,27,LAC,7,1,18.4,3.0,6.9,.438,0.9,2.9,.300,2.1,4.0,.536,.500,0.4,1.1,.375,0.7,1.1,1.9,0.3,0.6,1.3,0.4,0.4,7.3,2025
103,Dillon Jones,SF,23,OKC,10,0,4.6,0.9,1.1,.818,0.3,0.4,.750,0.6,0.7,.857,.955,0.2,0.2,1.000,0.3,0.6,0.9,0.5,0.1,0.1,0.6,0.4,2.3,2025
104,DeAndre Jordan,C,36,DEN,7,0,5.1,0.4,0.4,1.000,0.0,0.0,,0.4,0.4,1.000,1.000,0.0,0.6,.000,0.1,1.1,1.3,0.3,0.0,0.1,0.3,1.3,0.9,2025
105,Cory Joseph,PG,33,ORL,5,5,24.8,2.0,4.8,.417,1.0,3.2,.313,1.0,1.6,.625,.521,0.0,0.0,,0.2,1.6,1.8,3.0,1.0,0.4,0.4,2.0,5.0,2025
106,Nikola JoviÄ,PF,21,MIA,4,0,18.8,3.3,8.8,.371,1.5,6.0,.250,1.8,2.8,.636,.457,1.5,1.5,1.000,1.0,3.0,4.0,1.5,0.8,0.3,1.3,0.5,9.5,2025
107,Luke Kennard,SG,28,MEM,4,0,20.0,2.0,4.5,.444,0.5,2.3,.222,1.5,2.3,.667,.500,0.0,0.0,,0.5,3.0,3.5,2.0,1.0,0.3,1.5,0.8,4.5,2025
108,Braxton Key,SF,27,GSW,5,0,4.6,0.2,1.6,.125,0.0,0.2,.000,0.2,1.4,.143,.125,0.0,0.0,,1.0,0.8,1.8,0.2,0.4,0.4,0.6,0.8,0.4,2025
109,Maxi Kleber,PF,33,LAL,1,0,5.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,2.0,2.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2025
110,Dalton Knecht,SF,23,LAL,2,0,2.0,1.0,2.5,.400,0.5,2.0,.250,0.5,0.5,1.000,.500,0.0,0.0,,1.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,2.5,2025
111,Kevin Knox,SF,25,GSW,5,0,7.6,1.6,4.0,.400,0.2,1.2,.167,1.4,2.8,.500,.425,0.8,1.0,.800,0.6,0.8,1.4,0.8,0.0,0.2,0.4,0.4,4.2,2025
112,Tyler Kolek,PG,23,NYK,3,0,2.0,0.3,0.3,1.000,0.3,0.3,1.000,0.0,0.0,,1.500,0.0,0.0,,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.0,1.0,2025
113,John Konchar,SG,28,MEM,4,0,17.3,0.8,2.3,.333,0.3,1.5,.167,0.5,0.8,.667,.389,1.0,1.0,1.000,0.8,2.5,3.3,1.5,0.5,0.5,0.5,2.0,2.8,2025
114,Luke Kornet,C,29,BOS,11,1,16.4,1.9,2.6,.724,0.0,0.0,,1.9,2.6,.724,.724,0.7,0.7,1.000,1.5,2.5,3.9,0.5,0.5,1.2,0.5,1.8,4.5,2025
115,Jonathan Kuminga,PF,22,GSW,8,1,23.4,5.6,11.6,.484,1.3,3.1,.400,4.4,8.5,.515,.538,2.8,3.9,.710,0.9,1.6,2.5,1.3,0.5,0.5,1.6,1.6,15.3,2025
116,Kyle Kuzma,PF,29,MIL,5,4,20.4,2.4,7.0,.343,0.4,2.0,.200,2.0,5.0,.400,.371,0.6,1.2,.500,0.6,1.6,2.2,0.8,0.0,0.2,0.6,2.4,5.8,2025
117,Jock Landale,C,29,HOU,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2025
118,Pelle Larsson,SG,23,MIA,4,0,13.0,2.0,3.8,.533,0.8,2.0,.375,1.3,1.8,.714,.633,0.3,0.8,.333,0.5,1.8,2.3,1.0,0.3,0.0,0.5,1.5,5.0,2025
119,Alex Len,C,31,LAL,2,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2025
120,Kawhi Leonard,SF,33,LAC,7,7,37.9,9.4,17.6,.537,2.1,5.3,.405,7.3,12.3,.593,.598,4.0,5.1,.778,1.6,6.0,7.6,4.7,1.1,0.7,2.1,1.7,25.0,2025
121,Damian Lillard,PG,34,MIL,3,3,25.0,2.0,9.0,.222,1.0,5.3,.188,1.0,3.7,.273,.278,2.0,2.3,.857,0.3,2.3,2.7,4.7,0.7,0.7,1.0,2.7,7.0,2025
