Rk,Unnamed: 1,Salary,Team,Season
1,Joel Embiid,"$55,224,526",PHI,2026
2,Paul George,"$51,666,090",PHI,2026
3,Tyrese Maxey,"$37,958,760",PHI,2026
4,VJ Edgecombe,"$11,108,880",PHI,2026
5,Quentin Grimes,"$8,741,209",PHI,2026
6,Kelly Oubre Jr.,"$8,382,150",PHI,2026
7,Andre Drummond,"$5,000,000",PHI,2026
8,Dominick Barlow,"$3,415,000",PHI,2026
9,Trendon Watford,"$2,461,463",PHI,2026
10,Kyle Lowry,"$2,296,274",PHI,2026
11,Justin Edwards,"$2,048,494",PHI,2026
12,Adem Bona,"$1,955,377",PHI,2026
13,Johni Broome,"$1,272,870",PHI,2026
14,Jabari Walker,"$724,598",PHI,2026
15,Cameron Payne,"$712,637",PHI,2026
16,Charles Bassey,"$131,970",PHI,2026
17,Charles Bassey,"$131,970",PHI,2026
18,Patrick Baldwin Jr.,"$131,970",PHI,2026
19,Emoni Bates,"$15,000",PHI,2026
