No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,3,UNC,ORL,2024
5,Paolo Banchero,PF,6-10,250,"November 12, 2002",us US,1,Duke,ORL,2024
35,Goga Bitadze,C,6-11,250,"July 20, 1999",ge GE,4,,ORL,2024
0,Anthony Black,PG,6-7,200,"January 20, 2004",us US,R,Arkansas,ORL,2024
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,5,Duke,ORL,2024
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,6,Washington,ORL,2024
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,9,Michigan State,ORL,2024
8,Kevon Harris,SG,6-5,216,"June 24, 1997",us US,1,Stephen F. Austin,ORL,2024
2,Caleb Houstan,SF,6-8,205,"January 9, 2003",ca CA,1,Michigan,ORL,2024
13,Jett Howard,SF,6-8,215,"September 14, 2003",us US,R,Michigan,ORL,2024
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,9,,ORL,2024
1,Jonathan Isaac,PF,6-10,230,"October 3, 1997",us US,4,Florida State,ORL,2024
3,Chuma Okeke,SF,6-7,229,"August 18, 1998",us US,3,Auburn,ORL,2024
12,Trevelin Queen,SG,6-5,190,"February 25, 1997",us US,2,"College of Marin, New Mexico Military Institute, New Mexico State",ORL,2024
25,Admiral Schofield,PF,6-5,241,"March 30, 1997",gb GB,3,Tennessee,ORL,2024
4,Jalen Suggs,SG,6-5,205,"June 3, 2001",us US,2,Gonzaga,ORL,2024
22,Franz Wagner,SF,6-10,220,"August 27, 2001",de DE,2,Michigan,ORL,2024
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,5,Michigan,ORL,2024
