Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,41,41,45,37,1.48,0.12,1.59,115.5,114.0,97.1,0.257,0.351,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,Scotiabank Arena,811261,TOR,2023
Lg Rank,17,13,12,12,12.0,10.0,12.0,11.0,12.0,26.0,22.0,25.0,28.0,1.0,3.0,21.0,29.0,1.0,10.0,25.0,,4,TOR,2023
