Rk,Unnamed: 1,Salary,Team,Season
1,Kawhi Leonard,"$42,492,492",LAC,2023
2,Paul George,"$42,492,492",LAC,2023
3,Eric Gordon,"$19,568,360",LAC,2023
4,Norman Powell,"$16,758,621",LAC,2023
5,Marcus Morris,"$16,372,093",LAC,2023
6,Robert Covington,"$12,307,692",LAC,2023
7,Nicolas Batum,"$10,843,350",LAC,2023
8,Ivica Zubac,"$10,123,457",LAC,2023
9,Mason Plumlee,"$9,080,417",LAC,2023
10,Amir Coffey,"$3,395,062",LAC,2023
11,Bones Hyland,"$2,201,520",LAC,2023
12,Terance Mann,"$1,930,681",LAC,2023
13,Brandon Boston,"$1,563,518",LAC,2023
14,Jason Preston,"$1,563,518",LAC,2023
15,Russell Westbrook,"$495,955",LAC,2023
16,Moussa Diabat̩,,LAC,2023
17,Moses Brown,,LAC,2023
18,Nate Darling,,LAC,2023
19,Keaton Wallace,,LAC,2023
20,Xavier Moon,,LAC,2023
