No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
10,Amari Bailey,PG,6-3,185,"February 17, 2004",us US,R,UCLA,CHO,2024
1,LaMelo Ball,PG,6-7,180,"August 22, 2001",us US,3,,CHO,2024
9,DÄvis BertÄns,PF,6-10,225,"November 12, 1992",lv LV,7,,CHO,2024
12,Leaky Black,SF,6-6,209,"June 14, 1999",us US,R,UNC,CHO,2024
3,Marques Bolden,C,6-10,249,"April 17, 1998",us US,2,Duke,CHO,2024
2,James Bouknight,SG,6-4,190,"September 18, 2000",us US,2,UConn,CHO,2024
0,Miles Bridges,SF,6-7,225,"March 21, 1998",us US,4,Michigan State,CHO,2024
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,9,"Liberty, Duke",CHO,2024
20,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,13,Butler,CHO,2024
9,ThÃ©o Maledon,PG,6-4,175,"June 12, 2001",fr FR,3,,CHO,2024
23,Tre Mann,PG,6-4,178,"February 3, 2001",us US,2,Florida,CHO,2024
11,Cody Martin,SF,6-6,205,"September 28, 1995",us US,4,"NC State, Nevada",CHO,2024
7,Bryce McGowens,SG,6-6,190,"November 8, 2002",us US,1,Nebraska,CHO,2024
31,Nathan Mensah,C,6-9,230,"April 9, 1998",gh GH,R,San Diego State,CHO,2024
22,Vasilije MiciÄ,PG,6-3,188,"January 13, 1994",rs RS,R,,CHO,2024
24,Brandon Miller,SF,6-7,200,"November 22, 2002",us US,R,Alabama,CHO,2024
44,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be BE,6,,CHO,2024
17,Aleksej Pokusevski,PF,7-0,210,"December 26, 2001",rs RS,3,,CHO,2024
4,Nick Richards,C,6-11,245,"November 29, 1997",jm JM,3,Kentucky,CHO,2024
3,Terry Rozier,SG,6-1,190,"March 17, 1994",us US,8,Louisville,CHO,2024
14,Ish Smith,PG,6-0,175,"July 5, 1988",us US,13,Wake Forest,CHO,2024
8,Nick Smith Jr.,SG,6-2,185,"April 18, 2004",us US,R,Arkansas,CHO,2024
21,JT Thor,PF,6-9,203,"August 26, 2002",us US,2,Auburn,CHO,2024
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,4,Kentucky,CHO,2024
2,Grant Williams,PF,6-7,236,"November 30, 1998",us US,4,Tennessee,CHO,2024
5,Mark Williams,C,7-1,240,"December 16, 2001",us US,1,Duke,CHO,2024
