Rk,Unnamed: 1,Salary,Team,Season
1,Rudy Gobert,"$41,000,000",MIN,2024
2,Karl-Anthony Towns,"$36,016,200",MIN,2024
3,Mike Conley,"$24,360,000",MIN,2024
4,Anthony Edwards,"$13,534,817",MIN,2024
5,Naz Reid,"$12,950,400",MIN,2024
6,Monte Morris,"$9,800,926",MIN,2024
7,Kyle Anderson,"$9,219,512",MIN,2024
8,Nickeil Alexander-Walker,"$4,687,500",MIN,2024
9,Jaden McDaniels,"$3,901,399",MIN,2024
10,Wendell Moore,"$2,421,720",MIN,2024
11,Jordan McLaughlin,"$2,320,000",MIN,2024
12,Leonard Miller,"$1,800,000",MIN,2024
13,Josh Minott,"$1,719,864",MIN,2024
14,T.J. Warren,"$220,543",MIN,2024
15,Luka Garza,"$127,683",MIN,2024
16,Justin Jackson,"$116,075",MIN,2024
17,T.J. Warren,"$116,075",MIN,2024
18,T.J. Warren,"$116,075",MIN,2024
19,Luka Garza,,MIN,2024
20,Jaylen Clark,,MIN,2024
21,Daishen Nix,,MIN,2024
