No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
5,Cat Barber,PG,6-2,180,"July 25, 1994",us US,R,NC State,ATL,2022
13,Bogdan BogdanoviÄ,SG,6-5,225,"August 18, 1992",rs RS,4,,ATL,2022
45,Chaundee Brown Jr.,SG,6-5,215,"December 4, 1998",us US,R,"Wake Forest, Michigan",ATL,2022
15,Clint Capela,C,6-10,256,"May 18, 1994",ch CH,7,,ATL,2022
20,John Collins,PF,6-9,226,"September 23, 1997",us US,4,Wake Forest,ATL,2022
2,Sharife Cooper,PG,6-0,176,"June 11, 2001",us US,R,Auburn,ATL,2022
10,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn SN,8,Louisville,ATL,2022
8,Danilo Gallinari,PF,6-10,236,"August 8, 1988",it IT,12,,ATL,2022
14,Malcolm Hill,SG,6-6,220,"October 26, 1995",us US,R,Illinois,ATL,2022
18,Solomon Hill,SF,6-6,226,"March 18, 1991",us US,8,Arizona,ATL,2022
3,Kevin Huerter,SF,6-6,198,"August 27, 1998",us US,3,Maryland,ATL,2022
12,De'Andre Hunter,SF,6-7,221,"December 2, 1997",us US,2,Virginia,ATL,2022
24,Wes Iwundu,SF,6-6,195,"December 20, 1994",us US,4,Kansas State,ATL,2022
1,Jalen Johnson,PF,6-8,219,"December 18, 2001",us US,R,Duke,ATL,2022
5,Kevin Knox,SF,6-8,215,"August 11, 1999",us US,3,Kentucky,ATL,2022
7,TimothÃ© Luwawu-Cabarrot,SF,6-7,210,"May 9, 1995",fr FR,5,,ATL,2022
4,Skylar Mays,SG,6-4,205,"September 5, 1997",us US,1,LSU,ATL,2022
17,Onyeka Okongwu,C,6-10,240,"December 11, 2000",us US,1,USC,ATL,2022
49,Cameron Oliver,SF,6-8,225,"July 11, 1996",us US,1,Nevada,ATL,2022
22,Cam Reddish,SF,6-7,230,"September 1, 1999",us US,2,Duke,ATL,2022
33,Lance Stephenson,SG,6-6,230,"September 5, 1990",us US,9,Cincinnati,ATL,2022
6,Lou Williams,PG,6-2,175,"October 27, 1986",us US,16,,ATL,2022
0,Delon Wright,SG,6-4,185,"April 26, 1992",us US,6,Utah,ATL,2022
11,Trae Young,PG,6-2,164,"September 19, 1998",us US,3,Oklahoma,ATL,2022
