No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Jaylen Brown,SG,6-6,223,"October 24, 1996",us US,4,California,BOS,2021
4,Carsen Edwards,SG,5-11,200,"March 12, 1998",us US,1,Purdue,BOS,2021
99,Tacko Fall,C,7-6,311,"December 10, 1995",sn SN,1,Central Florida,BOS,2021
94,Evan Fournier,SF,6-6,205,"October 29, 1992",fr FR,8,,BOS,2021
43,Javonte Green,SF,6-5,205,"July 23, 1993",us US,1,Radford,BOS,2021
40,Luke Kornet,C,7-1,250,"July 15, 1995",us US,3,Vanderbilt,BOS,2021
45,Romeo Langford,SG,6-5,216,"October 25, 1999",us US,1,Indiana,BOS,2021
26,Aaron Nesmith,SF,6-5,215,"October 16, 1999",us US,R,Vanderbilt,BOS,2021
37,Semi Ojeleye,PF,6-6,240,"December 5, 1994",us US,3,"Duke, SMU",BOS,2021
20,Jabari Parker,PF,6-7,245,"March 15, 1995",us US,6,Duke,BOS,2021
11,Payton Pritchard,SG,6-1,195,"January 28, 1998",us US,R,Oregon,BOS,2021
36,Marcus Smart,PG,6-3,220,"March 6, 1994",us US,6,Oklahoma State,BOS,2021
0,Jayson Tatum,SF,6-8,210,"March 3, 1998",us US,3,Duke,BOS,2021
55,Jeff Teague,PG,6-3,195,"June 10, 1988",us US,11,Wake Forest,BOS,2021
27,Daniel Theis,C,6-8,245,"April 4, 1992",de DE,3,,BOS,2021
13,Tristan Thompson,C,6-9,254,"March 13, 1991",ca CA,9,Texas,BOS,2021
20,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,2,Michigan,BOS,2021
8,Kemba Walker,PG,6-0,184,"May 8, 1990",us US,9,UConn,BOS,2021
51,Tremont Waters,PG,5-10,175,"January 10, 1998",us US,1,LSU,BOS,2021
12,Grant Williams,PF,6-7,236,"November 30, 1998",us US,1,Tennessee,BOS,2021
44,Robert Williams,C,6-9,249,"October 17, 1997",us US,2,Texas A&M,BOS,2021
