Rk,Unnamed: 1,Salary,Team,Season
1,Jimmy Butler,"$36,016,200",MIA,2022
2,Bam Adebayo,"$28,103,550",MIA,2022
3,Kyle Lowry,"$26,984,128",MIA,2022
4,Duncan Robinson,"$15,560,000",MIA,2022
5,P.J. Tucker,"$7,000,000",MIA,2022
6,Ryan Anderson,"$5,214,584",MIA,2022
7,Tyler Herro,"$4,004,280",MIA,2022
8,Udonis Haslem,"$2,641,691",MIA,2022
9,Markieff Morris,"$2,641,691",MIA,2022
10,Dewayne Dedmon,"$2,389,641",MIA,2022
11,Victor Oladipo,"$2,389,641",MIA,2022
12,Gabe Vincent,"$1,669,178",MIA,2022
13,Max Strus,"$1,669,178",MIA,2022
14,Omer Yurtseven,"$1,489,065",MIA,2022
15,Haywood Highsmith,"$547,701",MIA,2022
16,Caleb Martin,"$527,615",MIA,2022
17,Chris Silva,"$383,720",MIA,2022
18,Kyle Guy,"$191,860",MIA,2022
19,Mario Chalmers,"$138,019",MIA,2022
20,Nik Stauskas,"$111,457",MIA,2022
21,Zylan Cheatham,"$85,578",MIA,2022
22,Aric Holman,"$53,176",MIA,2022
23,Javonte Smart,$0,MIA,2022
24,Mychal Mulder,$0,MIA,2022
25,Marcus Garrett,$0,MIA,2022
