No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
7,Darius Bazley,PF,6-9,216,"June 12, 2000",us US,1,,OKC,2021
13,Tony Bradley,C,6-10,248,"January 8, 1998",us US,3,UNC,OKC,2021
44,Charlie Brown Jr.,SG,6-6,199,"February 2, 1997",us US,1,Saint Joseph's,OKC,2021
9,Moses Brown,C,7-2,258,"October 13, 1999",us US,1,UCLA,OKC,2021
6,Gabriel Deck,PF,6-6,231,"February 8, 1995",ar AR,R,,OKC,2021
6,Hamidou Diallo,SG,6-5,202,"July 31, 1998",us US,2,Kentucky,OKC,2021
5,Luguentz Dort,SG,6-4,220,"April 19, 1999",ca CA,1,Arizona State,OKC,2021
2,Shai Gilgeous-Alexander,SG,6-6,195,"July 12, 1998",ca CA,2,Kentucky,OKC,2021
15,Josh Hall,SF,6-9,190,"October 8, 2000",us US,R,,OKC,2021
3,George Hill,PG,6-4,188,"May 4, 1986",us US,12,IUPUI,OKC,2021
8,Jaylen Hoard,SF,6-8,216,"March 30, 1999",fr FR,1,Wake Forest,OKC,2021
42,Al Horford,C,6-8,240,"June 3, 1986",do DO,13,Florida,OKC,2021
44,Justin Jackson,SF,6-8,220,"March 28, 1995",us US,3,UNC,OKC,2021
16,Ty Jerome,SG,6-5,195,"July 8, 1997",us US,1,Virginia,OKC,2021
11,Th̩o Maledon,PG,6-4,175,"June 12, 2001",fr FR,R,,OKC,2021
12,Darius Miller,SF,6-6,225,"March 21, 1990",us US,5,Kentucky,OKC,2021
33,Mike Muscala,C,6-10,240,"July 1, 1991",us US,7,Bucknell,OKC,2021
14,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua UA,2,Kansas,OKC,2021
17,Aleksej Pokusevski,PF,7-0,210,"December 26, 2001",rs RS,R,,OKC,2021
3,Justin Robinson,PG,6-1,195,"October 12, 1997",us US,1,Virginia Tech,OKC,2021
22,Isaiah Roby,PF,6-6,230,"February 3, 1998",us US,1,Nebraska,OKC,2021
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,2,TCU,OKC,2021
