No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
4,Steven Adams,C,6-11,265,"July 20, 1993",nz NZ,8,Pitt,MEM,2022
7,Santi Aldama,PF,7-0,215,"January 10, 2001",es ES,R,Loyola (MD),MEM,2022
1,Kyle Anderson,PF,6-8,230,"September 20, 1993",us US,7,UCLA,MEM,2022
22,Desmond Bane,SG,6-6,215,"June 25, 1998",us US,1,TCU,MEM,2022
24,Dillon Brooks,SF,6-7,225,"January 22, 1996",ca CA,4,Oregon,MEM,2022
6,Shaq Buchanan,SG,6-3,190,"January 30, 1997",us US,R,"Northeast Mississippi Community College, Murray State",MEM,2022
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca CA,2,"San Jose State, Gonzaga",MEM,2022
23,Jarrett Culver,SG,6-6,195,"February 20, 1999",us US,2,Texas Tech,MEM,2022
13,Jaren Jackson Jr.,PF,6-10,242,"September 15, 1999",us US,3,Michigan State,MEM,2022
55,DaQuan Jeffries,SG,6-5,222,"August 30, 1997",us US,2,"Oral Roberts, Tulsa",MEM,2022
21,Tyus Jones,PG,6-0,196,"May 10, 1996",us US,6,Duke,MEM,2022
46,John Konchar,SG,6-5,210,"March 22, 1996",us US,2,Purdue-Fort Wayne,MEM,2022
31,Dakota Mathias,SG,6-4,200,"July 11, 1995",us US,1,Purdue,MEM,2022
0,De'Anthony Melton,SG,6-2,200,"May 28, 1998",us US,3,USC,MEM,2022
25,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,1,Utah State University,MEM,2022
12,Ja Morant,PG,6-2,174,"August 10, 1999",us US,2,Murray State,MEM,2022
5,Yves Pons,SF,6-5,206,"May 7, 1999",ht HT,R,Tennessee,MEM,2022
20,Xavier Sneed,SF,6-5,215,"December 21, 1997",us US,R,Kansas State,MEM,2022
3,Tyrell Terry,PG,6-2,160,"September 28, 2000",us US,1,Stanford,MEM,2022
10,Jon Teske,C,7-1,265,"May 4, 1997",us US,R,Michigan,MEM,2022
35,Killian Tillie,C,6-9,220,"March 5, 1998",fr FR,1,Gonzaga,MEM,2022
2,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us US,1,Michigan State,MEM,2022
8,Ziaire Williams,SF,6-9,185,"September 12, 2001",us US,R,Stanford,MEM,2022
