No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
13,Greg Brown III,PF,6-7,206,"September 1, 2001",us US,2,Texas,DAL,2024
30,Seth Curry,SG,6-1,185,"August 23, 1990",us US,9,"Liberty, Duke",DAL,2024
17,Dexter Dennis,SG,6-5,210,"February 9, 1999",us US,R,"Wichita State, Texas A&M",DAL,2024
77,Luka DonÄiÄ,PG,6-8,230,"February 28, 1999",si SI,5,,DAL,2024
0,DantÃ© Exum,PG,6-5,214,"July 13, 1995",au AU,6,,DAL,2024
3,Alex Fudge,SF,6-8,200,"May 6, 2003",us US,R,"LSU, Florida",DAL,2024
21,Daniel Gafford,PF,6-10,265,"October 1, 1998",us US,4,Arkansas,DAL,2024
8,Josh Green,SG,6-6,200,"November 16, 2000",au AU,3,Arizona,DAL,2024
10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us US,10,Michigan,DAL,2024
1,Jaden Hardy,SG,6-3,198,"July 5, 2002",us US,1,,DAL,2024
20,Richaun Holmes,C,6-9,235,"October 15, 1993",us US,8,Bowling Green,DAL,2024
11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au AU,12,Duke,DAL,2024
55,Derrick Jones Jr.,SF,6-6,210,"February 15, 1997",us US,7,UNLV,DAL,2024
42,Maxi Kleber,C,6-10,240,"January 29, 1992",de DE,6,,DAL,2024
9,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca CA,1,South Carolina,DAL,2024
2,Dereck Lively II,C,7-1,230,"February 12, 2004",us US,R,Duke,DAL,2024
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us US,12,Kansas,DAL,2024
7,Dwight Powell,C,6-10,240,"July 20, 1991",ca CA,9,Stanford,DAL,2024
18,Olivier-Maxence Prosper,PF,6-7,230,"July 3, 2002",ca CA,R,"Clemson, Marquette",DAL,2024
25,P.J. Washington,PF,6-7,230,"August 23, 1998",us US,4,Kentucky,DAL,2024
0,Brandon Williams,PG,6-1,190,"November 22, 1999",us US,1,Arizona,DAL,2024
3,Grant Williams,PF,6-7,236,"November 30, 1998",us US,4,Tennessee,DAL,2024
