Rk,Unnamed: 1,Salary,Team,Season
1,Zach LaVine,"$37,096,500",CHI,2023
2,DeMar DeRozan,"$27,300,000",CHI,2023
3,Nikola VuÄeviÄ,"$22,000,000",CHI,2023
4,Lonzo Ball,"$19,534,884",CHI,2023
5,Alex Caruso,"$9,030,000",CHI,2023
6,Patrick Williams,"$7,775,400",CHI,2023
7,Coby White,"$7,413,955",CHI,2023
8,Andre Drummond,"$3,200,000",CHI,2023
9,Derrick Jones,"$3,200,000",CHI,2023
10,Dalen Terry,"$3,191,400",CHI,2023
11,Tony Bradley,"$2,036,318",CHI,2023
12,Goran DragiÄ,"$1,836,090",CHI,2023
13,Javonte Green,"$1,815,677",CHI,2023
14,Marko Simonovic,"$1,563,518",CHI,2023
15,Ayo Dosunmu,"$1,563,518",CHI,2023
16,Patrick Beverley,"$506,508",CHI,2023
17,Carlik Jones,"$357,717",CHI,2023
18,Justin Lewis,,CHI,2023
19,Malcolm Hill,,CHI,2023
20,Kostas Antetokounmpo,,CHI,2023
21,Carlik Jones,,CHI,2023
22,Terry Taylor,,CHI,2023
23,Justin Lewis,,CHI,2023
