G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 19, 2022",7:30p,,Box Score,@,Memphis Grizzlies,L,OT,112,115,0,1,L 1,18202,2:36,,NYK,2023
2,"Fri, Oct 21, 2022",7:30p,,Box Score,,Detroit Pistons,W,,130,106,1,1,W 1,19812,2:12,,NYK,2023
3,"Mon, Oct 24, 2022",7:30p,,Box Score,,Orlando Magic,W,,115,102,2,1,W 2,18800,2:13,,NYK,2023
4,"Wed, Oct 26, 2022",7:30p,,Box Score,,Charlotte Hornets,W,OT,134,131,3,1,W 3,19812,2:45,,NYK,2023
5,"Fri, Oct 28, 2022",8:00p,,Box Score,@,Milwaukee Bucks,L,,108,119,3,2,L 1,17341,2:25,,NYK,2023
6,"Sun, Oct 30, 2022",6:00p,,Box Score,@,Cleveland Cavaliers,L,,108,121,3,3,L 2,19432,2:13,,NYK,2023
7,"Wed, Nov 2, 2022",7:30p,,Box Score,,Atlanta Hawks,L,,99,112,3,4,L 3,19812,2:11,,NYK,2023
8,"Fri, Nov 4, 2022",7:00p,,Box Score,@,Philadelphia 76ers,W,,106,104,4,4,W 1,20679,2:20,,NYK,2023
9,"Sat, Nov 5, 2022",7:30p,,Box Score,,Boston Celtics,L,,118,133,4,5,L 1,19812,2:04,,NYK,2023
10,"Mon, Nov 7, 2022",9:15p,,Box Score,@,Minnesota Timberwolves,W,,120,107,5,5,W 1,14524,2:17,,NYK,2023
11,"Wed, Nov 9, 2022",7:30p,,Box Score,@,Brooklyn Nets,L,,85,112,5,6,L 1,18156,2:09,,NYK,2023
12,"Fri, Nov 11, 2022",7:30p,,Box Score,,Detroit Pistons,W,,121,112,6,6,W 1,19812,2:25,,NYK,2023
13,"Sun, Nov 13, 2022",12:00p,,Box Score,,Oklahoma City Thunder,L,,135,145,6,7,L 1,18325,2:14,,NYK,2023
14,"Tue, Nov 15, 2022",9:00p,,Box Score,@,Utah Jazz,W,,118,111,7,7,W 1,18206,2:11,,NYK,2023
15,"Wed, Nov 16, 2022",10:00p,,Box Score,@,Denver Nuggets,W,,106,103,8,7,W 2,18210,2:17,,NYK,2023
16,"Fri, Nov 18, 2022",10:00p,,Box Score,@,Golden State Warriors,L,,101,111,8,8,L 1,18064,2:20,,NYK,2023
17,"Sun, Nov 20, 2022",3:30p,,Box Score,@,Phoenix Suns,L,,95,116,8,9,L 2,17071,2:04,,NYK,2023
18,"Mon, Nov 21, 2022",8:00p,,Box Score,@,Oklahoma City Thunder,W,,129,119,9,9,W 1,15079,2:11,,NYK,2023
19,"Fri, Nov 25, 2022",7:30p,,Box Score,,Portland Trail Blazers,L,OT,129,132,9,10,L 1,19812,2:49,,NYK,2023
20,"Sun, Nov 27, 2022",6:00p,,Box Score,,Memphis Grizzlies,L,,123,127,9,11,L 2,19524,2:28,,NYK,2023
21,"Tue, Nov 29, 2022",7:00p,,Box Score,@,Detroit Pistons,W,,140,110,10,11,W 1,14864,2:03,,NYK,2023
22,"Wed, Nov 30, 2022",7:30p,,Box Score,,Milwaukee Bucks,L,,103,109,10,12,L 1,17277,2:18,,NYK,2023
23,"Sat, Dec 3, 2022",12:30p,,Box Score,,Dallas Mavericks,L,,100,121,10,13,L 2,18319,2:03,,NYK,2023
24,"Sun, Dec 4, 2022",6:00p,,Box Score,,Cleveland Cavaliers,W,,92,81,11,13,W 1,19007,2:11,,NYK,2023
25,"Wed, Dec 7, 2022",7:30p,,Box Score,,Atlanta Hawks,W,,113,89,12,13,W 2,18091,2:20,,NYK,2023
26,"Fri, Dec 9, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,121,102,13,13,W 3,17696,2:15,,NYK,2023
27,"Sun, Dec 11, 2022",6:00p,,Box Score,,Sacramento Kings,W,,112,99,14,13,W 4,19812,2:17,,NYK,2023
28,"Wed, Dec 14, 2022",7:30p,,Box Score,@,Chicago Bulls,W,OT,128,120,15,13,W 5,18820,2:38,,NYK,2023
29,"Fri, Dec 16, 2022",8:00p,,Box Score,@,Chicago Bulls,W,,114,91,16,13,W 6,19661,2:07,,NYK,2023
30,"Sun, Dec 18, 2022",5:00p,,Box Score,@,Indiana Pacers,W,,109,106,17,13,W 7,14513,2:25,,NYK,2023
31,"Tue, Dec 20, 2022",7:30p,,Box Score,,Golden State Warriors,W,,132,94,18,13,W 8,19812,2:14,,NYK,2023
32,"Wed, Dec 21, 2022",7:30p,,Box Score,,Toronto Raptors,L,,106,113,18,14,L 1,19294,2:15,,NYK,2023
33,"Fri, Dec 23, 2022",7:30p,,Box Score,,Chicago Bulls,L,,117,118,18,15,L 2,19812,2:14,,NYK,2023
34,"Sun, Dec 25, 2022",12:00p,,Box Score,,Philadelphia 76ers,L,,112,119,18,16,L 3,19812,2:16,,NYK,2023
35,"Tue, Dec 27, 2022",8:30p,,Box Score,@,Dallas Mavericks,L,OT,121,126,18,17,L 4,20377,2:31,,NYK,2023
36,"Thu, Dec 29, 2022",8:00p,,Box Score,@,San Antonio Spurs,L,,115,122,18,18,L 5,18354,2:19,,NYK,2023
37,"Sat, Dec 31, 2022",7:00p,,Box Score,@,Houston Rockets,W,,108,88,19,18,W 1,18055,2:13,,NYK,2023
