No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
10,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us US,16,USC,SAC,2026
5,Nique Clifford,SG,6-5,175,"February 9, 2002",us US,R,"Colorado, Colorado State",SAC,2026
42,Maxime Raynaud,C,7-1,250,"April 7, 2003",fr FR,R,Stanford,SAC,2026
9,Precious Achiuwa,C,6-8,243,"September 19, 1999",ng NG,5,Memphis,SAC,2026
18,Russell Westbrook,SF,6-4,200,"November 12, 1988",us US,17,UCLA,SAC,2026
0,Malik Monk,SG,6-3,200,"February 4, 1998",us US,8,Kentucky,SAC,2026
32,Dylan Cardwell (TW),C,6-10,255,"December 16, 2001",us US,R,Auburn,SAC,2026
19,Drew Eubanks,C,6-10,245,"February 1, 1997",us US,7,Oregon State,SAC,2026
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,11,UCLA,SAC,2026
22,Devin Carter,PG,6-2,195,"March 18, 2002",us US,1,"South Carolina, Providence",SAC,2026
29,Daeqwon Plowden (TW),SG,6-4,216,"August 29, 1998",us US,1,Bowling Green,SAC,2026
7,Doug McDermott,SF,6-7,225,"January 3, 1992",us US,11,Creighton,SAC,2026
13,Keegan Murray,PF,6-8,225,"August 19, 2000",us US,3,Iowa,SAC,2026
3,Killian Hayes,PG,6-4,195,"July 27, 2001",us US,5,,SAC,2026
11,Domantas Sabonis,C,6-10,240,"May 3, 1996",us US,9,Gonzaga,SAC,2026
23,Patrick Baldwin Jr. (TW),SF,7-0,220,"November 18, 2002",us US,3,UW-Milwaukee,SAC,2026
24,Isaiah Stevens (TW),PG,5-11,185,"November 1, 2000",us US,1,Colorado State,SAC,2026
15,De'Andre Hunter,SF,6-7,221,"December 2, 1997",us US,6,Virginia,SAC,2026
