Rk,Unnamed: 1,Salary,Team,Season
1,Darius Garland,"$36,725,670",CLE,2025
2,Donovan Mitchell,"$35,410,310",CLE,2025
3,De'Andre Hunter,"$21,696,429",CLE,2025
4,Jarrett Allen,"$20,000,000",CLE,2025
5,Max Strus,"$15,212,068",CLE,2025
6,Evan Mobley,"$11,227,657",CLE,2025
7,Isaac Okoro,"$10,185,186",CLE,2025
8,Dean Wade,"$6,166,667",CLE,2025
9,Jaylon Tyson,"$3,326,160",CLE,2025
10,Ty Jerome,"$2,560,975",CLE,2025
11,Sam Merrill,"$2,164,993",CLE,2025
12,Tristan Thompson,"$2,087,519",CLE,2025
13,Craig Porter,"$1,891,857",CLE,2025
14,Javonte Green,"$599,862",CLE,2025
15,Ricky Rubio,"$424,672",CLE,2025
16,Chuma Okeke,"$115,743",CLE,2025
17,Nae'Qwan Tomlin,"$66,503",CLE,2025
18,Luke Travers,,CLE,2025
19,Emoni Bates,,CLE,2025
20,Nae'Qwan Tomlin,,CLE,2025
