Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,33,39,32,40,-1.74,0.15,-1.58,111.0,112.8,98.9,0.243,0.314,0.517,10.2,20.0,0.192,0.541,11.8,77.3,0.174,AT&T Center,61053,SAS,2021
Lg Rank,19,11,21,21,21.0,7.0,21.0,21.0,17.0,15.0,14.0,30.0,27.0,2.0,27.0,14.0,17.0,20.0,20.0,6.0,,12,SAS,2021
