No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
45,Donovan Mitchell,SG,6-2,215,"September 7, 1996",us US,8,Louisville,CLE,2026
20,Jaylon Tyson,SG,6-6,215,"December 2, 2002",us US,1,"Texas, Texas Tech, California",CLE,2026
4,Evan Mobley,PF,6-11,215,"June 18, 2001",us US,4,USC,CLE,2026
35,Nae'Qwan Tomlin,PF,6-8,210,"December 10, 2000",us US,1,"Monroe Community College, Chipola College, Kansas State, Memphis",CLE,2026
9,Craig Porter Jr.,PG,6-1,180,"February 26, 2000",us US,2,"Vincennes University, Wichita State",CLE,2026
3,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,8,Indiana,CLE,2026
32,Dean Wade,PF,6-9,228,"November 20, 1996",us US,6,Kansas State,CLE,2026
31,Jarrett Allen,C,6-9,243,"April 21, 1998",us US,8,Texas,CLE,2026
5,Sam Merrill,SG,6-4,205,"May 15, 1996",us US,5,Utah State University,CLE,2026
24,Tyrese Proctor,PG,6-4,185,"April 1, 2004",au AU,R,Duke,CLE,2026
22,Larry Nance Jr.,PF,6-6,245,"January 1, 1993",us US,10,Wyoming,CLE,2026
8,Dennis Schr̦der,PG,6-1,175,"September 15, 1993",de DE,12,,CLE,2026
14,Keon Ellis,SG,6-4,175,"January 8, 2000",us US,3,"Florida SouthWestern State College, Alabama",CLE,2026
1,James Harden,PG,6-5,220,"August 26, 1989",us US,16,Arizona State,CLE,2026
2,Max Strus,SF,6-5,215,"March 28, 1996",us US,6,"Lewis (IL), DePaul",CLE,2026
21,Tristan Enaruna (TW),SF,6-7,220,"June 26, 2001",nl NL,R,"Kansas, Iowa State, Cleveland State University",CLE,2026
12,Riley Minix (TW),SF,6-7,230,"September 22, 2000",us US,1,"Southeastern University, Morehead State University",CLE,2026
33,Olivier Sarr (TW),C,6-10,240,"February 20, 1999",fr FR,3,"Wake Forest, Kentucky",CLE,2026
