Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,68,14,68,14,12.87,-0.16,12.7,120.3,107.5,100.0,0.22,0.419,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211,Paycom Center,754832,OKC,2025
Lg Rank,1,30,1,1,1.0,20.0,1.0,3.0,1.0,6.0,28.0,16.0,7.0,1.0,21.0,24.0,1.0,2.0,16.0,26.0,,14,OKC,2025
