No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us US,5,Kentucky,MIA,2023
11,Jamaree Bouyea,PG,6-2,180,"June 27, 1999",us US,R,San Francisco,MIA,2023
22,Jimmy Butler,PF,6-6,230,"September 14, 1989",us US,11,"Tyler Junior College, Marquette",MIA,2023
8,Jamal Cain,PF,6-7,191,"March 20, 1999",us US,R,"Marquette, Oakland",MIA,2023
21,Dewayne Dedmon,C,6-10,245,"August 12, 1989",us US,9,USC,MIA,2023
40,Udonis Haslem,C,6-8,235,"June 9, 1980",us US,19,Florida,MIA,2023
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us US,3,Kentucky,MIA,2023
24,Haywood Highsmith,PF,6-5,220,"December 9, 1996",us US,2,Wheeling University,MIA,2023
5,Nikola JoviÄ,PF,6-10,205,"June 9, 2003",gb GB,R,,MIA,2023
42,Kevin Love,PF,6-10,251,"September 7, 1988",us US,14,UCLA,MIA,2023
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us US,16,Villanova,MIA,2023
16,Caleb Martin,SF,6-5,205,"September 28, 1995",us US,3,"NC State, Nevada",MIA,2023
4,Victor Oladipo,SG,6-3,213,"May 4, 1992",us US,9,Indiana,MIA,2023
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us US,4,"Williams, Michigan",MIA,2023
25,Orlando Robinson,C,6-10,235,"July 10, 2000",us US,R,Fresno State,MIA,2023
9,Dru Smith,SG,6-2,203,"December 30, 1997",us US,R,"University of Evansville, Missouri",MIA,2023
31,Max Strus,SF,6-5,215,"March 28, 1996",us US,3,"Lewis (IL), DePaul",MIA,2023
2,Gabe Vincent,PG,6-2,200,"June 14, 1996",us US,3,UC Santa Barbara,MIA,2023
77,Omer Yurtseven,C,6-11,275,"June 19, 1998",uz UZ,1,"NC State, Georgetown",MIA,2023
44,Cody Zeller,C,6-11,240,"October 5, 1992",us US,9,Indiana,MIA,2023
