No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,Deni Avdija,SF,6-8,228,"January 3, 2001",il IL,1,,WAS,2022
17,Joel Ayayi,SG,6-4,180,"March 5, 2000",fr FR,R,Gonzaga,WAS,2022
3,Bradley Beal,SG,6-4,207,"June 28, 1993",us US,9,Florida,WAS,2022
42,DÄvis BertÄns,PF,6-10,225,"November 12, 1992",lv LV,5,,WAS,2022
13,Thomas Bryant,C,6-9,248,"July 31, 1997",us US,4,Indiana,WAS,2022
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us US,8,Georgia,WAS,2022
22,Vernon Carey Jr.,C,6-10,270,"February 25, 2001",us US,1,Duke,WAS,2022
26,Spencer Dinwiddie,PG,6-5,215,"April 6, 1993",us US,7,Colorado,WAS,2022
12,Jaime Echenique,C,6-11,258,"April 27, 1997",co CO,R,"Trinity Valley CC, Wichita State",WAS,2022
21,Daniel Gafford,C,6-10,265,"October 1, 1998",us US,2,Arkansas,WAS,2022
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us US,1,"South Carolina, Virginia",WAS,2022
7,Jordan Goodwin,SG,6-3,215,"October 23, 1998",us US,R,Saint Louis,WAS,2022
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp JP,2,Gonzaga,WAS,2022
6,Montrezl Harrell,C,6-7,240,"January 26, 1994",us US,6,Louisville,WAS,2022
4,Aaron Holiday,PG,6-0,185,"September 30, 1996",us US,3,UCLA,WAS,2022
27,Alize Johnson,PF,6-9,212,"April 22, 1996",us US,3,"Frank Phillips College, Missouri State",WAS,2022
24,Corey Kispert,SF,6-6,224,"March 3, 1999",us US,R,Gonzaga,WAS,2022
33,Kyle Kuzma,PF,6-8,221,"July 24, 1995",us US,4,Utah,WAS,2022
55,Greg Monroe,C,6-11,265,"June 4, 1990",us US,9,Georgetown,WAS,2022
19,Raul Neto,PG,6-2,180,"May 19, 1992",br BR,6,,WAS,2022
6,Kristaps PorziÅÄ£is,PF,7-2,240,"August 2, 1995",lv LV,5,,WAS,2022
31,TomÃ¡Å¡ SatoranskÃ½,PG,6-7,210,"October 30, 1991",cz CZ,5,,WAS,2022
20,Jordan Schakel,SG,6-6,200,"June 13, 1998",us US,R,San Diego State,WAS,2022
4,Ish Smith,PG,6-0,175,"July 5, 1988",us US,11,Wake Forest,WAS,2022
32,Craig Sword,SG,6-3,196,"January 16, 1994",us US,R,Mississippi State,WAS,2022
14,Isaiah Todd,PF,6-9,219,"October 17, 2001",us US,R,,WAS,2022
22,Brad Wanamaker,PG,6-3,210,"July 25, 1989",us US,3,Pitt,WAS,2022
51,Tremont Waters,PG,5-10,175,"January 10, 1998",us US,2,LSU,WAS,2022
5,Cassius Winston,PG,6-1,185,"February 28, 1998",us US,1,Michigan State,WAS,2022
