Rk,Unnamed: 1,Salary,Team,Season
1,Kevin Durant,"$47,649,433",PHO,2024
2,Bradley Beal,"$46,741,590",PHO,2024
3,Devin Booker,"$36,016,200",PHO,2024
4,Jusuf NurkiÄ,"$16,875,000",PHO,2024
5,Royce O'Neale,"$9,500,000",PHO,2024
6,Grayson Allen,"$8,925,000",PHO,2024
7,Nassir Little,"$6,250,000",PHO,2024
8,Eric Gordon,"$3,196,448",PHO,2024
9,Josh Okogie,"$2,815,937",PHO,2024
10,Keon Johnson,"$2,808,720",PHO,2024
11,David Roddy,"$2,718,240",PHO,2024
12,Damion Lee,"$2,528,233",PHO,2024
13,Drew Eubanks,"$2,346,614",PHO,2024
14,Bol Bol,"$2,019,706",PHO,2024
15,Thaddeus Young,"$638,413",PHO,2024
16,Isaiah Thomas,"$116,075",PHO,2024
17,Isaiah Thomas,"$116,075",PHO,2024
18,Isaiah Thomas,"$69,645",PHO,2024
19,Saben Lee,,PHO,2024
20,Udoka Azubuike,,PHO,2024
21,ThÃ©o Maledon,,PHO,2024
22,Ish Wainright,,PHO,2024
