Rk,Unnamed: 1,Salary,Team,Season
1,Karl-Anthony Towns,"$53,142,264",NYK,2026
2,OG Anunoby,"$39,568,966",NYK,2026
3,Jalen Brunson,"$34,944,001",NYK,2026
4,Mikal Bridges,"$24,900,000",NYK,2026
5,Josh Hart,"$19,472,240",NYK,2026
6,Mitchell Robinson,"$12,954,546",NYK,2026
7,Jose Alvarado,"$4,500,000",NYK,2026
8,Miles McBride,"$4,333,333",NYK,2026
9,Pac̫me Dadiet,"$2,847,600",NYK,2026
10,Jordan Clarkson,"$2,296,274",NYK,2026
11,Landry Shamet,"$2,296,274",NYK,2026
12,Tyler Kolek,"$2,191,897",NYK,2026
13,Ariel Hukporti,"$1,955,377",NYK,2026
14,Mohamed Diawara,"$1,272,870",NYK,2026
15,Jeremy Sochan,"$778,622",NYK,2026
