G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
45,"Fri, Jan 26, 2024",9:30p,,Box Score,,Portland Trail Blazers,W,,116,100,9,36,W 1,17274,2:09,,SAS,2024
46,"Sat, Jan 27, 2024",8:30p,,Box Score,,Minnesota Timberwolves,W,,113,112,10,36,W 2,17726,2:04,,SAS,2024
47,"Mon, Jan 29, 2024",8:00p,,Box Score,,Washington Wizards,L,,113,118,10,37,L 1,17020,2:10,,SAS,2024
48,"Wed, Jan 31, 2024",8:00p,,Box Score,,Orlando Magic,L,,98,108,10,38,L 2,17081,2:11,,SAS,2024
49,"Fri, Feb 2, 2024",8:00p,,Box Score,,New Orleans Pelicans,L,,113,114,10,39,L 3,17207,2:12,,SAS,2024
50,"Sat, Feb 3, 2024",8:30p,,Box Score,,Cleveland Cavaliers,L,,101,117,10,40,L 4,18354,2:14,,SAS,2024
51,"Wed, Feb 7, 2024",7:30p,,Box Score,@,Miami Heat,L,,104,116,10,41,L 5,19652,2:09,,SAS,2024
52,"Thu, Feb 8, 2024",7:00p,,Box Score,@,Orlando Magic,L,,111,127,10,42,L 6,19074,2:15,,SAS,2024
53,"Sat, Feb 10, 2024",6:00p,,Box Score,@,Brooklyn Nets,L,,103,123,10,43,L 7,18005,2:10,,SAS,2024
54,"Mon, Feb 12, 2024",7:30p,,Box Score,@,Toronto Raptors,W,,122,99,11,43,W 1,19800,2:05,,SAS,2024
55,"Wed, Feb 14, 2024",8:30p,,Box Score,@,Dallas Mavericks,L,,93,116,11,44,L 1,20311,1:58,,SAS,2024
56,"Thu, Feb 22, 2024",10:00p,,Box Score,@,Sacramento Kings,L,,122,127,11,45,L 2,18153,2:03,,SAS,2024
57,"Fri, Feb 23, 2024",10:30p,,Box Score,@,Los Angeles Lakers,L,,118,123,11,46,L 3,18997,2:12,,SAS,2024
58,"Sun, Feb 25, 2024",8:00p,,Box Score,@,Utah Jazz,L,,109,128,11,47,L 4,18206,2:13,,SAS,2024
59,"Tue, Feb 27, 2024",8:00p,,Box Score,@,Minnesota Timberwolves,L,,105,114,11,48,L 5,18024,1:59,,SAS,2024
60,"Thu, Feb 29, 2024",8:30p,,Box Score,,Oklahoma City Thunder,W,,132,118,12,48,W 1,18392,2:10,,SAS,2024
61,"Sun, Mar 3, 2024",7:00p,,Box Score,,Indiana Pacers,W,,117,105,13,48,W 2,18027,2:15,,SAS,2024
62,"Tue, Mar 5, 2024",8:00p,,Box Score,@,Houston Rockets,L,,101,114,13,49,L 1,16734,2:06,,SAS,2024
63,"Thu, Mar 7, 2024",10:00p,,Box Score,@,Sacramento Kings,L,,129,131,13,50,L 2,17968,2:16,,SAS,2024
64,"Sat, Mar 9, 2024",8:30p,,Box Score,@,Golden State Warriors,W,,126,113,14,50,W 1,18064,2:24,,SAS,2024
65,"Mon, Mar 11, 2024",8:00p,,Box Score,,Golden State Warriors,L,,102,112,14,51,L 1,18354,2:05,,SAS,2024
66,"Tue, Mar 12, 2024",8:30p,,Box Score,,Houston Rockets,L,,101,103,14,52,L 2,18751,2:14,,SAS,2024
67,"Fri, Mar 15, 2024",8:30p,,Box Score,,Denver Nuggets,L,,106,117,14,53,L 3,16223,2:07,,SAS,2024
68,"Sun, Mar 17, 2024",7:00p,,Box Score,,Brooklyn Nets,W,OT,122,115,15,53,W 1,16057,2:35,,SAS,2024
69,"Tue, Mar 19, 2024",8:00p,,Box Score,,Dallas Mavericks,L,,107,113,15,54,L 1,18354,2:13,,SAS,2024
70,"Fri, Mar 22, 2024",8:00p,,Box Score,,Memphis Grizzlies,L,,97,99,15,55,L 2,17408,2:20,,SAS,2024
71,"Sat, Mar 23, 2024",8:00p,,Box Score,,Phoenix Suns,L,,106,131,15,56,L 3,18354,1:59,,SAS,2024
72,"Mon, Mar 25, 2024",8:00p,,Box Score,,Phoenix Suns,W,,104,102,16,56,W 1,18044,2:08,,SAS,2024
73,"Wed, Mar 27, 2024",9:00p,,Box Score,@,Utah Jazz,W,,118,111,17,56,W 2,18206,2:12,,SAS,2024
74,"Fri, Mar 29, 2024",8:00p,,Box Score,,New York Knicks,W,OT,130,126,18,56,W 3,18604,2:37,,SAS,2024
75,"Sun, Mar 31, 2024",7:00p,,Box Score,,Golden State Warriors,L,,113,117,18,57,L 1,18718,2:10,,SAS,2024
76,"Tue, Apr 2, 2024",9:00p,,Box Score,@,Denver Nuggets,L,,105,110,18,58,L 2,19741,2:10,,SAS,2024
77,"Fri, Apr 5, 2024",8:00p,,Box Score,@,New Orleans Pelicans,W,,111,109,19,58,W 1,17422,2:01,,SAS,2024
78,"Sun, Apr 7, 2024",7:00p,,Box Score,,Philadelphia 76ers,L,2OT,126,133,19,59,L 1,18046,2:52,,SAS,2024
79,"Tue, Apr 9, 2024",8:00p,,Box Score,@,Memphis Grizzlies,W,,102,87,20,59,W 1,16108,1:55,,SAS,2024
80,"Wed, Apr 10, 2024",8:00p,,Box Score,@,Oklahoma City Thunder,L,,89,127,20,60,L 1,17229,1:57,,SAS,2024
81,"Fri, Apr 12, 2024",8:00p,,Box Score,,Denver Nuggets,W,,121,120,21,60,W 1,18665,2:07,,SAS,2024
82,"Sun, Apr 14, 2024",3:30p,,Box Score,,Detroit Pistons,W,,123,95,22,60,W 2,18516,1:54,,SAS,2024
