No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
13,Bogdan BogdanoviÄ,SG,6-5,225,"August 18, 1992",rs RS,3,,ATL,2021
15,Clint Capela,C,6-10,256,"May 18, 1994",ch CH,6,,ATL,2021
20,John Collins,PF,6-9,226,"September 23, 1997",us US,3,Wake Forest,ATL,2021
32,Kris Dunn,PG,6-3,205,"March 18, 1994",us US,4,Providence,ATL,2021
24,Bruno Fernando,C,6-9,240,"August 15, 1998",ao AO,1,Maryland,ATL,2021
8,Danilo Gallinari,PF,6-10,236,"August 8, 1988",it IT,11,,ATL,2021
0,Brandon Goodwin,PG,6-0,180,"October 2, 1995",us US,2,"Central Florida, Florida Gulf Coast",ATL,2021
18,Solomon Hill,PF,6-6,226,"March 18, 1991",us US,7,Arizona,ATL,2021
3,Kevin Huerter,SG,6-6,198,"August 27, 1998",us US,2,Maryland,ATL,2021
12,De'Andre Hunter,SF,6-7,221,"December 2, 1997",us US,1,Virginia,ATL,2021
1,Nathan Knight,PF,6-8,253,"September 20, 1997",us US,R,William & Mary,ATL,2021
4,Skylar Mays,SG,6-4,205,"September 5, 1997",us US,R,LSU,ATL,2021
17,Onyeka Okongwu,C,6-10,240,"December 11, 2000",us US,R,USC,ATL,2021
22,Cam Reddish,SF,6-7,230,"September 1, 1999",us US,1,Duke,ATL,2021
7,Rajon Rondo,PG,6-1,180,"February 22, 1986",us US,14,Kentucky,ATL,2021
19,Tony Snell,SG,6-6,213,"November 10, 1991",us US,7,New Mexico,ATL,2021
6,Lou Williams,PG,6-2,175,"October 27, 1986",us US,15,,ATL,2021
11,Trae Young,PG,6-2,164,"September 19, 1998",us US,2,Oklahoma,ATL,2021
