No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,Nickeil Alexander-Walker,SG,6-5,205,"September 2, 1998",ca CA,5,Virginia Tech,MIN,2025
22,Jaylen Clark,SG,6-5,205,"October 13, 2001",us US,R,UCLA,MIN,2025
10,Mike Conley,PG,6-1,175,"October 11, 1987",us US,17,Ohio State,MIN,2025
4,Rob Dillingham,PG,6-2,175,"January 4, 2005",us US,R,Kentucky,MIN,2025
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us US,6,Villanova,MIN,2025
35,PJ Dozier,SG,6-6,212,"October 25, 1996",us US,6,South Carolina,MIN,2025
5,Anthony Edwards,SG,6-4,225,"August 5, 2001",us US,4,Georgia,MIN,2025
14,Jesse Edwards,C,7-0,236,"March 18, 2000",nl NL,R,"West Virginia, Syracuse",MIN,2025
55,Luka Garza,C,6-10,243,"December 27, 1998",us US,3,Iowa,MIN,2025
27,Rudy Gobert,C,7-1,258,"June 26, 1992",fr FR,11,,MIN,2025
77,Bones Hyland,PG,6-2,169,"September 14, 2000",us US,3,VCU,MIN,2025
7,Joe Ingles,SF,6-8,220,"October 2, 1987",au AU,10,,MIN,2025
3,Jaden McDaniels,PF,6-9,185,"September 29, 2000",us US,4,Washington,MIN,2025
33,Leonard Miller,SF,6-10,220,"November 26, 2003",ca CA,1,,MIN,2025
8,Josh Minott,SF,6-8,205,"November 25, 2002",us US,2,Memphis,MIN,2025
13,Tristen Newton,SG,6-5,190,"April 26, 2001",us US,R,"East Carolina University, UConn",MIN,2025
1,Daishen Nix,PG,6-3,226,"February 13, 2002",us US,3,,MIN,2025
30,Julius Randle,PF,6-9,250,"November 29, 1994",us US,10,Kentucky,MIN,2025
11,Naz Reid,C,6-9,264,"August 26, 1999",us US,5,LSU,MIN,2025
0,Terrence Shannon Jr.,SG,6-6,215,"July 30, 2000",us US,R,"Texas Tech, Illinois",MIN,2025
