No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
14,Matas Buzelis,PF,6-8,209,"October 13, 2004",us US,1,,CHI,2026
44,Patrick Williams,PF,6-6,215,"August 26, 2001",us US,5,Florida State,CHI,2026
30,Tre Jones,PG,6-1,185,"January 8, 2000",us US,5,Duke,CHI,2026
35,Isaac Okoro,SG,6-4,225,"January 26, 2001",us US,5,Auburn,CHI,2026
3,Josh Giddey,PG,6-7,216,"October 10, 2002",au AU,4,,CHI,2026
25,Jalen Smith,C,6-8,215,"March 16, 2000",us US,5,Maryland,CHI,2026
47,Lachlan Olbrich (TW),C,6-8,236,"December 30, 2003",au AU,R,"University of California, Riverside",CHI,2026
7,Rob Dillingham,PG,6-2,175,"January 4, 2005",us US,1,Kentucky,CHI,2026
11,Leonard Miller,SF,6-10,220,"November 26, 2003",ca CA,2,,CHI,2026
2,Collin Sexton,SG,6-3,190,"January 4, 1999",us US,7,Alabama,CHI,2026
28,Guerschon Yabusele,C,6-7,265,"December 17, 1995",fr FR,3,,CHI,2026
13,Nick Richards,C,6-11,245,"November 29, 1997",jm JM,5,Kentucky,CHI,2026
8,Yuki Kawamura (TW),PG,5-7,159,"May 2, 2001",jp JP,1,,CHI,2026
12,Zach Collins,C,6-9,250,"November 19, 1997",us US,7,Gonzaga,CHI,2026
5,Mac McClung (TW),SG,6-2,185,"January 6, 1999",us US,3,"Georgetown, Texas Tech",CHI,2026
"2, 22",Anfernee Simons,SG,6-3,200,"June 8, 1999",us US,7,,CHI,2026
16,Mouhamadou Gueye,PF,6-9,210,"July 6, 1998",us US,1,"Monroe Community College, Stony Brook University, Pitt",CHI,2026
24,Noa Essengue,PF,6-8,200,"December 18, 2006",fr FR,R,,CHI,2026
