No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
30,Stephen Curry,PG,6-2,185,"March 14, 1988",us US,14,Davidson,GSW,2024
12,Usman Garuba,PF,6-8,229,"March 9, 2002",es ES,2,,GSW,2024
23,Draymond Green,PF,6-6,230,"March 4, 1990",us US,11,Michigan State,GSW,2024
32,Trayce Jackson-Davis,PF,6-9,245,"February 22, 2000",us US,R,Indiana,GSW,2024
1,Cory Joseph,PG,6-2,200,"August 20, 1991",ca CA,12,Texas,GSW,2024
0,Jonathan Kuminga,PF,6-7,225,"October 6, 2002",cd CD,2,,GSW,2024
5,Kevon Looney,C,6-9,222,"February 6, 1996",us US,8,UCLA,GSW,2024
4,Moses Moody,SG,6-5,211,"May 31, 2002",us US,2,Arkansas,GSW,2024
3,Chris Paul,PG,6-0,175,"May 6, 1985",us US,18,Wake Forest,GSW,2024
0,Gary Payton II,SG,6-2,195,"December 1, 1992",us US,7,Oregon State,GSW,2024
2,Brandin Podziemski,SG,6-4,205,"February 25, 2003",us US,R,"Illinois, Santa Clara",GSW,2024
25,Lester QuiÃ±ones,SG,6-5,208,"November 16, 2000",us US,1,Memphis,GSW,2024
18,Jerome Robinson,SG,6-5,190,"February 22, 1997",us US,3,Boston College,GSW,2024
15,Gui Santos,PF,6-7,185,"June 22, 2002",br BR,R,,GSW,2024
20,Dario Å ariÄ,C,6-10,225,"April 8, 1994",hr HR,6,,GSW,2024
61,Pat Spencer,PG,6-2,205,"July 4, 1996",us US,R,"Loyola (MD), Northwestern",GSW,2024
11,Klay Thompson,SF,6-5,220,"February 8, 1990",us US,10,Washington State,GSW,2024
22,Andrew Wiggins,SF,6-6,197,"February 23, 1995",ca CA,9,Kansas,GSW,2024
