G,Date,Start (ET),Unnamed: 3,Unnamed: 4,Unnamed: 5,Opponent,Unnamed: 7,Unnamed: 8,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Team,Season
1,"Wed, Oct 19, 2022",7:30p,,Box Score,,New Orleans Pelicans,L,,108,130,0,1,L 1,18003,2:14,,BRK,2023
2,"Fri, Oct 21, 2022",7:30p,,Box Score,,Toronto Raptors,W,,109,105,1,1,W 1,17732,2:15,,BRK,2023
3,"Mon, Oct 24, 2022",8:00p,,Box Score,@,Memphis Grizzlies,L,,124,134,1,2,L 1,17392,2:19,,BRK,2023
4,"Wed, Oct 26, 2022",7:30p,,Box Score,@,Milwaukee Bucks,L,,99,110,1,3,L 2,17341,2:31,,BRK,2023
5,"Thu, Oct 27, 2022",7:30p,,Box Score,,Dallas Mavericks,L,OT,125,129,1,4,L 3,18039,2:42,,BRK,2023
6,"Sat, Oct 29, 2022",7:30p,,Box Score,,Indiana Pacers,L,,116,125,1,5,L 4,17732,2:14,,BRK,2023
7,"Mon, Oct 31, 2022",7:30p,,Box Score,,Indiana Pacers,W,,116,109,2,5,W 1,15770,2:20,,BRK,2023
8,"Tue, Nov 1, 2022",7:30p,,Box Score,,Chicago Bulls,L,,99,108,2,6,L 1,17732,2:16,,BRK,2023
9,"Fri, Nov 4, 2022",7:00p,,Box Score,@,Washington Wizards,W,,128,86,3,6,W 1,17258,2:06,,BRK,2023
10,"Sat, Nov 5, 2022",7:00p,,Box Score,@,Charlotte Hornets,W,,98,94,4,6,W 2,19398,2:17,,BRK,2023
11,"Mon, Nov 7, 2022",9:45p,,Box Score,@,Dallas Mavericks,L,,94,96,4,7,L 1,20011,2:19,,BRK,2023
12,"Wed, Nov 9, 2022",7:30p,,Box Score,,New York Knicks,W,,112,85,5,7,W 1,18156,2:09,,BRK,2023
13,"Sat, Nov 12, 2022",4:00p,,Box Score,@,Los Angeles Clippers,W,,110,95,6,7,W 2,17777,2:15,,BRK,2023
14,"Sun, Nov 13, 2022",9:30p,,Box Score,@,Los Angeles Lakers,L,,103,116,6,8,L 1,18040,2:15,,BRK,2023
15,"Tue, Nov 15, 2022",10:00p,,Box Score,@,Sacramento Kings,L,,121,153,6,9,L 2,17611,2:21,,BRK,2023
16,"Thu, Nov 17, 2022",10:00p,,Box Score,@,Portland Trail Blazers,W,,109,107,7,9,W 1,19393,2:27,,BRK,2023
17,"Sun, Nov 20, 2022",7:00p,,Box Score,,Memphis Grizzlies,W,,127,115,8,9,W 2,18241,2:12,,BRK,2023
18,"Tue, Nov 22, 2022",7:30p,,Box Score,@,Philadelphia 76ers,L,,106,115,8,10,L 1,20184,2:17,,BRK,2023
19,"Wed, Nov 23, 2022",7:30p,,Box Score,@,Toronto Raptors,W,,112,98,9,10,W 1,19800,2:04,,BRK,2023
20,"Fri, Nov 25, 2022",8:00p,,Box Score,@,Indiana Pacers,L,,117,128,9,11,L 1,15404,2:20,,BRK,2023
21,"Sun, Nov 27, 2022",3:00p,,Box Score,,Portland Trail Blazers,W,,111,97,10,11,W 1,17732,2:09,,BRK,2023
22,"Mon, Nov 28, 2022",7:30p,,Box Score,,Orlando Magic,W,,109,102,11,11,W 2,15704,2:04,,BRK,2023
23,"Wed, Nov 30, 2022",7:30p,,Box Score,,Washington Wizards,W,,113,107,12,11,W 3,15963,2:22,,BRK,2023
24,"Fri, Dec 2, 2022",7:30p,,Box Score,,Toronto Raptors,W,,114,105,13,11,W 4,17732,2:17,,BRK,2023
25,"Sun, Dec 4, 2022",6:00p,,Box Score,,Boston Celtics,L,,92,103,13,12,L 1,18043,2:07,,BRK,2023
26,"Wed, Dec 7, 2022",7:30p,,Box Score,,Charlotte Hornets,W,,122,116,14,12,W 1,16903,2:11,,BRK,2023
27,"Fri, Dec 9, 2022",7:30p,,Box Score,,Atlanta Hawks,W,,120,116,15,12,W 2,18072,2:15,,BRK,2023
28,"Sat, Dec 10, 2022",7:00p,,Box Score,@,Indiana Pacers,W,,136,133,16,12,W 3,14280,2:29,,BRK,2023
29,"Mon, Dec 12, 2022",7:00p,,Box Score,@,Washington Wizards,W,,112,100,17,12,W 4,16090,2:06,,BRK,2023
30,"Fri, Dec 16, 2022",7:30p,,Box Score,@,Toronto Raptors,W,,119,116,18,12,W 5,19800,,,BRK,2023
31,"Sun, Dec 18, 2022",6:00p,,Box Score,@,Detroit Pistons,W,,124,121,19,12,W 6,19488,2:18,,BRK,2023
32,"Wed, Dec 21, 2022",7:30p,,Box Score,,Golden State Warriors,W,,143,113,20,12,W 7,18026,2:05,,BRK,2023
33,"Fri, Dec 23, 2022",7:30p,,Box Score,,Milwaukee Bucks,W,,118,100,21,12,W 8,18169,2:09,,BRK,2023
34,"Mon, Dec 26, 2022",7:00p,,Box Score,@,Cleveland Cavaliers,W,,125,117,22,12,W 9,19432,2:21,,BRK,2023
