No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,DÄvis BertÄns,PF,6-10,225,"November 12, 1992",lv LV,7,,OKC,2024
15,Bismack Biyombo,C,6-8,255,"August 28, 1992",cd CD,12,,OKC,2024
13,Ousmane Dieng,PF,6-9,185,"May 21, 2003",fr FR,1,,OKC,2024
5,Luguentz Dort,SF,6-4,220,"April 19, 1999",ca CA,4,Arizona State,OKC,2024
14,Adam Flagler,SG,6-1,180,"December 1, 1999",us US,R,"Presbyterian College, Baylor",OKC,2024
3,Josh Giddey,SG,6-7,216,"October 10, 2002",au AU,2,,OKC,2024
2,Shai Gilgeous-Alexander,PG,6-6,195,"July 12, 1998",ca CA,5,Kentucky,OKC,2024
33,Gordon Hayward,SF,6-7,225,"March 23, 1990",us US,13,Butler,OKC,2024
7,Chet Holmgren,C,7-1,208,"May 1, 2002",us US,R,Gonzaga,OKC,2024
11,Isaiah Joe,SG,6-4,165,"July 2, 1999",us US,3,Arkansas,OKC,2024
18,Keyontae Johnson,SF,6-4,230,"May 24, 2000",us US,R,"Florida, Kansas State",OKC,2024
23,Tre Mann,PG,6-4,178,"February 3, 2001",us US,2,Florida,OKC,2024
29,Vasilije MiciÄ,PG,6-3,188,"January 13, 1994",rs RS,R,,OKC,2024
50,Mike Muscala,C,6-10,240,"July 1, 1991",us US,10,Bucknell,OKC,2024
17,Aleksej Pokusevski,PF,7-0,210,"December 26, 2001",rs RS,3,,OKC,2024
30,Olivier Sarr,C,6-10,240,"February 20, 1999",fr FR,2,"Wake Forest, Kentucky",OKC,2024
22,Cason Wallace,SG,6-3,195,"November 7, 2003",us US,R,Kentucky,OKC,2024
12,Lindy Waters III,SG,6-5,210,"July 28, 1997",us US,2,Oklahoma State,OKC,2024
21,Aaron Wiggins,SG,6-5,190,"January 2, 1999",us US,2,Maryland,OKC,2024
8,Jalen Williams,PF,6-5,211,"April 14, 2001",us US,1,Santa Clara,OKC,2024
6,Jaylin Williams,C,6-9,240,"June 29, 2002",us US,1,Arkansas,OKC,2024
34,Kenrich Williams,PF,6-7,210,"December 2, 1994",us US,5,TCU,OKC,2024
