No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
9,RJ Barrett,SG,6-6,214,"June 14, 2000",ca CA,1,Duke,NYK,2021
17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",lt LT,1,Michigan,NYK,2021
25,Reggie Bullock,SF,6-6,205,"March 16, 1991",us US,7,UNC,NYK,2021
18,Alec Burks,SG,6-5,214,"July 20, 1991",us US,9,Colorado,NYK,2021
67,Taj Gibson,C,6-9,232,"June 24, 1985",us US,11,USC,NYK,2021
0,Jared Harper,PG,5-10,175,"September 14, 1997",us US,1,Auburn,NYK,2021
20,Kevin Knox,SF,6-8,215,"August 11, 1999",us US,2,Kentucky,NYK,2021
3,Nerlens Noel,C,6-10,220,"April 10, 1994",us US,6,Kentucky,NYK,2021
11,Frank Ntilikina,PG,6-4,200,"July 28, 1998",be BE,3,,NYK,2021
6,Elfrid Payton,PG,6-3,195,"February 22, 1994",us US,6,Louisiana,NYK,2021
14,Norvel Pelle,C,6-10,231,"February 3, 1993",ag AG,1,,NYK,2021
21,Theo Pinson,SG,6-5,212,"November 5, 1995",us US,2,UNC,NYK,2021
5,Immanuel Quickley,PG,6-2,190,"June 17, 1999",us US,R,Kentucky,NYK,2021
30,Julius Randle,PF,6-9,250,"November 29, 1994",us US,6,Kentucky,NYK,2021
8,Austin Rivers,SG,6-4,200,"August 1, 1992",us US,8,Duke,NYK,2021
23,Mitchell Robinson,C,7-0,240,"April 1, 1998",us US,2,Western Kentucky,NYK,2021
4,Derrick Rose,PG,6-3,200,"October 4, 1988",us US,11,Memphis,NYK,2021
4,Dennis Smith Jr.,PG,6-2,205,"November 25, 1997",us US,3,NC State,NYK,2021
1,Obi Toppin,PF,6-9,220,"March 4, 1998",us US,R,Dayton,NYK,2021
