No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us US,5,Oregon,BOS,2026
30,Sam Hauser,PF,6-7,217,"December 8, 1997",us US,4,"Marquette, Virginia",BOS,2026
9,Derrick White,SG,6-4,190,"July 2, 1994",us US,8,"Colorado-Colorado Springs, Colorado",BOS,2026
55,Baylor Scheierman,SG,6-6,205,"September 26, 2000",us US,1,"South Dakota State, Creighton",BOS,2026
88,Neemias Queta,C,7-0,248,"July 13, 1999",pt PT,4,Utah State University,BOS,2026
28,Hugo GonzÃ¡lez,SF,6-6,200,"February 5, 2006",es ES,R,,BOS,2026
7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us US,9,California,BOS,2026
52,Luka Garza,C,6-10,243,"December 27, 1998",us US,4,Iowa,BOS,2026
27,Jordan Walsh,PF,6-6,205,"March 3, 2004",us US,2,Arkansas,BOS,2026
13,Ron Harper Jr.,SF,6-5,233,"April 12, 2000",us US,3,Rutgers University,BOS,2026
77,Amari Williams,PF,6-11,250,"January 28, 2002",gb GB,R,"Drexel, Kentucky",BOS,2026
0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us US,8,Duke,BOS,2026
4,Nikola VuÄeviÄ,C,6-9,260,"October 24, 1990",ch CH,14,USC,BOS,2026
44,Max Shulga,SG,6-4,210,"June 25, 2002",ua UA,R,"Utah State University, VCU",BOS,2026
8,John Tonje (TW),SG,6-4,218,"April 23, 2001",us US,R,"Colorado State, Missouri, Wisconsin",BOS,2026
45,Dalano Banton,PG,6-8,203,"November 7, 1999",ca CA,4,Nebraska,BOS,2026
