Unnamed: 0_level_1,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance,Team,Season
Team,61,21,62,20,9.11,-0.83,8.28,120.6,111.1,95.7,0.212,0.536,0.561,10.8,25.7,0.169,0.522,11.6,76.0,0.154,TD Garden,785396,BOS,2025
Lg Rank,3,28,2,2,3.0,30.0,3.0,2.0,5.0,30.0,30.0,1.0,5.0,2.0,15.0,30.0,2.0,23.0,8.0,1.0,,8,BOS,2025
