Rk,Unnamed: 1,Salary,Team,Season
1,Tobias Harris,"$34,358,850",PHI,2021
2,Ben Simmons,"$30,559,200",PHI,2021
3,Joel Embiid,"$29,542,010",PHI,2021
4,Danny Green,"$15,365,853",PHI,2021
5,George Hill,"$9,590,602",PHI,2021
6,Seth Curry,"$7,834,449",PHI,2021
7,Mike Scott,"$5,005,350",PHI,2021
8,Matisse Thybulle,"$2,711,280",PHI,2021
9,Tyrese Maxey,"$2,478,840",PHI,2021
10,Furkan Korkmaz,"$1,762,796",PHI,2021
11,Shake Milton,"$1,701,593",PHI,2021
12,Dwight Howard,"$1,620,564",PHI,2021
13,Ignas Brazdeikis,"$1,517,981",PHI,2021
14,Isaiah Joe,"$898,310",PHI,2021
15,Paul Reed,"$609,128",PHI,2021
16,Anthony Tolliver,"$485,498",PHI,2021
17,Justin Anderson,"$125,000",PHI,2021
18,Rayjon Tucker,$0,PHI,2021
19,Mason Jones,$0,PHI,2021
20,Gary Clark,$0,PHI,2021
