No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
4,Reece Beekman,PG,6-3,190,"October 8, 2001",us US,R,Virginia,BRK,2025
33,Nic Claxton,C,6-11,215,"April 17, 1999",us US,5,Georgia,BRK,2025
21,Noah Clowney,PF,6-10,210,"July 14, 2004",us US,1,Alabama,BRK,2025
8,Cui Yongxi,SG,6-5,190,"May 28, 2003",cn CN,R,,BRK,2025
10,Tyson Etienne,PG,6-0,200,"September 17, 1999",us US,R,Wichita State,BRK,2025
12,Tosan Evbuomwan,SF,6-8,217,"February 16, 2001",gb GB,1,Princeton,BRK,2025
28,Dorian Finney-Smith,PF,6-7,220,"May 4, 1993",us US,8,Florida,BRK,2025
7,Killian Hayes,PG,6-4,195,"July 27, 2001",us US,4,,BRK,2025
2,Cameron Johnson,PF,6-8,210,"March 3, 1996",us US,5,"Pitt, UNC",BRK,2025
45,Keon Johnson,SG,6-5,185,"March 10, 2002",us US,3,Tennessee,BRK,2025
27,Maxwell Lewis,SF,6-7,215,"July 27, 2002",us US,1,Pepperdine,BRK,2025
16,Jaylen Martin,SF,6-6,216,"January 28, 2004",us US,R,,BRK,2025
13,Tyrese Martin,SG,6-6,215,"March 7, 1999",us US,1,"Rhode Island, UConn",BRK,2025
7,Shake Milton,SG,6-5,205,"September 26, 1996",us US,6,SMU,BRK,2025
1,D'Angelo Russell,PG,6-3,193,"February 23, 1996",us US,9,Ohio State,BRK,2025
17,Dennis Schr̦der,PG,6-1,175,"September 15, 1993",de DE,11,,BRK,2025
20,Day'Ron Sharpe,C,6-10,265,"November 6, 2001",us US,3,UNC,BRK,2025
10,Ben Simmons,PG,6-10,240,"July 20, 1996",au AU,6,LSU,BRK,2025
24,Cam Thomas,SG,6-3,210,"October 13, 2001",jp JP,3,LSU,BRK,2025
26,Drew Timme,PF,6-9,235,"September 9, 2000",us US,R,Gonzaga,BRK,2025
9,Trendon Watford,PF,6-8,237,"November 9, 2000",us US,3,LSU,BRK,2025
0,Dariq Whitehead,SF,6-6,220,"August 1, 2004",us US,1,Duke,BRK,2025
"1, 8",Ziaire Williams,SF,6-9,185,"September 12, 2001",us US,3,Stanford,BRK,2025
22,Jalen Wilson,PF,6-6,220,"November 4, 2000",us US,1,Kansas,BRK,2025
