No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
2,Al-Farouq Aminu,PF,6-9,220,"September 21, 1990",us US,10,Wake Forest,ORL,2021
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us US,R,UNC,ORL,2021
8,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us US,3,Florida State,ORL,2021
5,Mo Bamba,C,7-0,231,"May 12, 1998",us US,2,Texas,ORL,2021
24,Khem Birch,C,6-8,233,"September 28, 1992",ca CA,3,"Pitt, UNLV",ORL,2021
23,Jordan Bone,PG,6-2,180,"November 5, 1997",us US,1,Tennessee,ORL,2021
17,Ignas Brazdeikis,SF,6-6,221,"January 8, 1999",lt LT,1,Michigan,ORL,2021
30,Devin Cannady,PG,6-2,183,"May 21, 1996",us US,R,Princeton,ORL,2021
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us US,2,Duke,ORL,2021
7,Michael Carter-Williams,SG,6-6,205,"October 10, 1991",us US,7,Syracuse,ORL,2021
12,Gary Clark,SF,6-6,225,"November 16, 1994",us US,2,Cincinnati,ORL,2021
11,James Ennis III,SF,6-6,215,"July 1, 1990",us US,6,Cal State Long Beach,ORL,2021
10,Evan Fournier,SF,6-6,205,"October 29, 1992",fr FR,8,,ORL,2021
0,Robert Franks,PF,6-7,225,"December 18, 1996",us US,R,Washington State,ORL,2021
20,Markelle Fultz,PG,6-4,209,"May 29, 1998",us US,3,Washington,ORL,2021
0,Aaron Gordon,PF,6-8,235,"September 16, 1995",us US,6,Arizona,ORL,2021
45,Donta Hall,PF,6-10,230,"August 7, 1997",us US,1,Alabama,ORL,2021
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us US,R,,ORL,2021
14,Gary Harris,SG,6-4,210,"September 14, 1994",us US,6,Michigan State,ORL,2021
4,Karim ManÃ©,PG,6-3,190,"May 16, 2000",sn SN,R,Vanier College,ORL,2021
15,Frank Mason III,PG,5-11,190,"April 3, 1994",us US,3,Kansas,ORL,2021
3,Chuma Okeke,PF,6-7,229,"August 18, 1998",us US,R,Auburn,ORL,2021
22,Otto Porter Jr.,PF,6-8,198,"June 3, 1993",us US,7,Georgetown,ORL,2021
25,Chasson Randle,PG,6-2,185,"February 5, 1993",us US,3,Stanford,ORL,2021
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us US,8,Washington,ORL,2021
12,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",us US,3,South Carolina,ORL,2021
9,Nikola VuÄeviÄ,C,6-9,260,"October 24, 1990",ch CH,9,USC,ORL,2021
21,Moritz Wagner,C,6-11,245,"April 26, 1997",de DE,2,Michigan,ORL,2021
