No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Team,Season
17,Onuralp Bitim,SG,6-6,215,"March 31, 1999",tr TR,R,,CHI,2024
5,Jevon Carter,PG,6-0,200,"September 14, 1995",us US,5,West Virginia,CHI,2024
6,Alex Caruso,SG,6-5,186,"February 28, 1994",us US,6,Texas A&M,CHI,2024
13,Torrey Craig,SF,6-5,221,"December 19, 1990",us US,6,USC Upstate,CHI,2024
11,DeMar DeRozan,SF,6-6,220,"August 7, 1989",us US,14,USC,CHI,2024
12,Ayo Dosunmu,SG,6-4,200,"January 17, 2000",us US,2,Illinois,CHI,2024
77,Henri Drell,SF,6-8,185,"April 25, 2000",ee EE,R,,CHI,2024
3,Andre Drummond,C,6-11,279,"August 10, 1993",us US,11,UConn,CHI,2024
30,Andrew Funk,SG,6-5,200,"September 21, 1999",us US,R,"Bucknell, Penn State",CHI,2024
24,Javonte Green,SF,6-5,205,"July 23, 1993",us US,4,Radford,CHI,2024
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us US,9,UCLA,CHI,2024
15,Julian Phillips,SF,6-6,198,"November 5, 2003",us US,R,Tennessee,CHI,2024
21,Adama Sanogo,PF,6-9,245,"February 12, 2002",ml ML,R,UConn,CHI,2024
32,Terry Taylor,PF,6-5,230,"September 23, 1999",us US,2,Austin Peay State University,CHI,2024
25,Dalen Terry,SG,6-6,195,"July 12, 2002",us US,1,Arizona,CHI,2024
9,Nikola VuÄeviÄ,C,6-9,260,"October 24, 1990",ch CH,12,USC,CHI,2024
0,Coby White,PG,6-4,195,"February 16, 2000",us US,4,UNC,CHI,2024
44,Patrick Williams,PF,6-6,215,"August 26, 2001",us US,3,Florida State,CHI,2024
